
10 Mot inconnu : lspci [[5:10]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lspci
10 Mot inconnu : lsusb [[62:67]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lsusb

13 Accord de nombre erroné : « compatibles » devrait être au singulier. [[17:28]] => ===== Cartes son compatibles ===== <|> compatibles => suggestions : ['compatible']

15 Guillemets typographiques ouvrants. [[58:59]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : of [[63:65]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> of
15 Mot inconnu : the [[66:69]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> the
15 Guillemets typographiques fermants. [[73:74]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['\xa0»', '”']

18 Mot inconnu : ALi [[2:5]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> ali
74 Mot inconnu : plug [[85:89]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> plug
74 Mot inconnu : play [[92:96]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> play
74 Guillemets typographiques fermants. [[96:97]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> " => suggestions : ['\xa0»', '”']
74 Après un point, une majuscule est généralement requise. [[179:185]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> besoin => suggestions : ['Besoin']
74 Accord de nombre erroné : « sortie » devrait être au pluriel. [[221:227]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> sortie => suggestions : ['sorties']
74 Accord de nombre erroné : « port » devrait être au pluriel. [[247:251]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> port => suggestions : ['ports']
74 Après un point, une majuscule est généralement requise. [[260:262]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> en => suggestions : ['En']
74 Mot inconnu : PDIF [[265:269]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> pdif
74 Formatage des grands nombres. [[402:407]] => | Focusrite | Scarlett 18i8 2nd génération |  | Oui | Oui | marche dès la connexion "plug & play" ALSA et JACK pour les 8 entrées analogiques et les 2 sorties monitor analogique. besoin de configuration pour utiliser les sortie 3/4 et 5/6 via les port casque. en S/PDIF et optique seulement 6 port de reconnue nativement sur les 10 annoncés. Latence suffisamment faible pour envisager du temps réel en 48000 ou 96000Hz d’échantillonnage.  | <|> 48000 => suggestions : ['48\xa0000']

75 Mot inconnu : Focusrite [[2:11]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> focusrite
75 Mot inconnu : rd [[29:31]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> rd
75 Guillemets typographiques ouvrants. [[84:85]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> " => suggestions : ['«\xa0', '“']
75 Mot inconnu : plug [[85:89]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> plug
75 Mot inconnu : play [[92:96]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> play
75 Guillemets typographiques fermants. [[96:97]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> " => suggestions : ['\xa0»', '”']
75 Guillemets typographiques ouvrants. [[144:145]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> " => suggestions : ['«\xa0', '“']
75 Mot inconnu : rd [[176:178]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> rd
75 Mot inconnu : Gen [[179:182]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> gen
75 Guillemets typographiques fermants. [[182:183]] => | Focusrite | Scarlett Solo 3rd génération |  | Oui | Oui | marche dès la connexion "plug & play", changer les paramètres de sortie du son vers "Analogue Output Scarlett Solo 3rd Gen". Testé sur Debian 11 / Ubuntu 20 / Ubuntu 22 | <|> " => suggestions : ['\xa0»', '”']

76 Mot inconnu : Expresscard [[4:15]] => ====Expresscard==== <|> expresscard

78 Mot inconnu : Creative [[2:10]] => | Creative Labs    | Sound Blaster X-Fi Notebook | ? | ?            | ?            | ?| <|> creative
78 Mot inconnu : Labs [[11:15]] => | Creative Labs    | Sound Blaster X-Fi Notebook | ? | ?            | ?            | ?| <|> labs
78 Mot inconnu : Sound [[21:26]] => | Creative Labs    | Sound Blaster X-Fi Notebook | ? | ?            | ?            | ?| <|> sound
78 Mot inconnu : Notebook [[40:48]] => | Creative Labs    | Sound Blaster X-Fi Notebook | ? | ?            | ?            | ?| <|> notebook

82 Accord de nombre erroné : « compatibles » devrait être au singulier. [[31:42]] => ===== Cartes son partiellement compatibles ===== <|> compatibles => suggestions : ['compatible']

84 Guillemets typographiques ouvrants. [[58:59]] => <note help>Les cartes son de cette section fonctionnent **"après quelques configurations"**.</note> <|> " => suggestions : ['«\xa0', '“']
84 Guillemets typographiques fermants. [[88:89]] => <note help>Les cartes son de cette section fonctionnent **"après quelques configurations"**.</note> <|> " => suggestions : ['\xa0»', '”']

86 Mot inconnu : ALi [[7:10]] => Pour **ALi  M5455** ; le chipset est   snd_intel8x0 <|> ali
86 Espace(s) surnuméraire(s) à supprimer. [[10:12]] => Pour **ALi  M5455** ; le chipset est   snd_intel8x0 <|>    => suggestions : [' ']
86 Mot inconnu : M5455 [[12:17]] => Pour **ALi  M5455** ; le chipset est   snd_intel8x0 <|> m5455
86 Espace(s) surnuméraire(s) à supprimer. [[36:39]] => Pour **ALi  M5455** ; le chipset est   snd_intel8x0 <|>     => suggestions : [' ']
86 Mot inconnu : snd_intel8x0 [[39:51]] => Pour **ALi  M5455** ; le chipset est   snd_intel8x0 <|> snd_intel8x0
86 Signe de multiplication typographique. [[48:51]] => Pour **ALi  M5455** ; le chipset est   snd_intel8x0 <|> 8x0 => suggestions : ['8\xa0×\xa00']

87 Mot inconnu : v903 [[18:22]] => (Mise à jour BIOS v903 sur Asus K8U-X. )Faire ce qui est  décrit à cette page: (http://www.mandrakeitalia.org/modules/wfsection/article.php?articleid=237) lien mort. <|> v903
87 Mot inconnu : K8U-X [[32:37]] => (Mise à jour BIOS v903 sur Asus K8U-X. )Faire ce qui est  décrit à cette page: (http://www.mandrakeitalia.org/modules/wfsection/article.php?articleid=237) lien mort. <|> k8u-x
87 Pas d’espace avant ce signe. [[38:40]] => (Mise à jour BIOS v903 sur Asus K8U-X. )Faire ce qui est  décrit à cette page: (http://www.mandrakeitalia.org/modules/wfsection/article.php?articleid=237) lien mort. <|>  ) => suggestions : [')']
87 Il manque un espace après la parenthèse. [[39:40]] => (Mise à jour BIOS v903 sur Asus K8U-X. )Faire ce qui est  décrit à cette page: (http://www.mandrakeitalia.org/modules/wfsection/article.php?articleid=237) lien mort. <|> ) => suggestions : [') ']
87 Espace(s) surnuméraire(s) à supprimer. [[56:58]] => (Mise à jour BIOS v903 sur Asus K8U-X. )Faire ce qui est  décrit à cette page: (http://www.mandrakeitalia.org/modules/wfsection/article.php?articleid=237) lien mort. <|>    => suggestions : [' ']

90 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. [[0:2]] => - Entrez le texte suivant: <|> -  => suggestions : ['—\xa0', '–\xa0']

128 Mot inconnu : ASrock [[2:8]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> asrock
128 Mot inconnu : K7VT4proA [[27:36]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> k7vt4proa
128 Mot inconnu : K7VT4A [[38:44]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> k7vt4a
128 Mot inconnu : K7S8X [[47:52]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> k7s8x
128 Mot inconnu : K7S8XE [[54:60]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> k7s8xe
128 Typographie : points de suspension. Utilisez le caractère dédié. [[60:63]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> ... => suggestions : ['…']
128 Mot inconnu : CMI9761 [[109:116]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> cmi9761
128 Guillemets typographiques ouvrants. [[221:222]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> " => suggestions : ['«\xa0', '“']
128 Mot inconnu : IEC958 [[222:228]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> iec958
128 Guillemets typographiques fermants. [[244:245]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> " => suggestions : ['\xa0»', '”']
128 Mot inconnu : ALSAMIXER [[251:260]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> alsamixer
128 Guillemets typographiques ouvrants. [[267:268]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> " => suggestions : ['«\xa0', '“']
128 Mot inconnu : IEC958 [[268:274]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> iec958
128 Guillemets typographiques fermants. [[276:277]] => | ASrock                 | K7VT4proA, K7VT4A+, K7S8X, K7S8XE...(et autres modèles intégrés ?)    |   C-Media CMI9761            | Oui                      | Oui                                  | Muter (avec la touche m) "IEC958 Capture monitor" dans ALSAMIXER (Seul "IEC958 C" s'affiche)   | <|> " => suggestions : ['\xa0»', '”']

130 Mot inconnu : F3SV-AK189C [[9:20]] => | Asus | F3SV-AK189C  | HDA Intel | non | oui | Dans /etc/modprobe.d/alsa-base ajouter les lignes suivantes en fin de fichier options snd-hda-intel model=lenovo options snd-hda-intel probe_mask=1 https://forum.ubuntu-fr.org/viewtopic.php?id=169074 | <|> f3sv-ak189c
130 Mot inconnu : HDA [[24:27]] => | Asus | F3SV-AK189C  | HDA Intel | non | oui | Dans /etc/modprobe.d/alsa-base ajouter les lignes suivantes en fin de fichier options snd-hda-intel model=lenovo options snd-hda-intel probe_mask=1 https://forum.ubuntu-fr.org/viewtopic.php?id=169074 | <|> hda
130 Mot inconnu : snd-hda-intel [[134:147]] => | Asus | F3SV-AK189C  | HDA Intel | non | oui | Dans /etc/modprobe.d/alsa-base ajouter les lignes suivantes en fin de fichier options snd-hda-intel model=lenovo options snd-hda-intel probe_mask=1 https://forum.ubuntu-fr.org/viewtopic.php?id=169074 | <|> snd-hda-intel
130 Mot inconnu : model [[148:153]] => | Asus | F3SV-AK189C  | HDA Intel | non | oui | Dans /etc/modprobe.d/alsa-base ajouter les lignes suivantes en fin de fichier options snd-hda-intel model=lenovo options snd-hda-intel probe_mask=1 https://forum.ubuntu-fr.org/viewtopic.php?id=169074 | <|> model
130 Mot inconnu : lenovo [[154:160]] => | Asus | F3SV-AK189C  | HDA Intel | non | oui | Dans /etc/modprobe.d/alsa-base ajouter les lignes suivantes en fin de fichier options snd-hda-intel model=lenovo options snd-hda-intel probe_mask=1 https://forum.ubuntu-fr.org/viewtopic.php?id=169074 | <|> lenovo
130 Mot inconnu : snd-hda-intel [[169:182]] => | Asus | F3SV-AK189C  | HDA Intel | non | oui | Dans /etc/modprobe.d/alsa-base ajouter les lignes suivantes en fin de fichier options snd-hda-intel model=lenovo options snd-hda-intel probe_mask=1 https://forum.ubuntu-fr.org/viewtopic.php?id=169074 | <|> snd-hda-intel
130 Mot inconnu : probe_mask [[183:193]] => | Asus | F3SV-AK189C  | HDA Intel | non | oui | Dans /etc/modprobe.d/alsa-base ajouter les lignes suivantes en fin de fichier options snd-hda-intel model=lenovo options snd-hda-intel probe_mask=1 https://forum.ubuntu-fr.org/viewtopic.php?id=169074 | <|> probe_mask
132 Mot inconnu : G4 [[30:32]] => | Apple                     | G4 desktop audio  | powermac  | Oui                    | Oui                                    | Le micro ne fonctionne pas sur iMac et powerbook | <|> g4
132 Mot inconnu : desktop [[33:40]] => | Apple                     | G4 desktop audio  | powermac  | Oui                    | Oui                                    | Le micro ne fonctionne pas sur iMac et powerbook | <|> desktop
132 Mot inconnu : powermac [[50:58]] => | Apple                     | G4 desktop audio  | powermac  | Oui                    | Oui                                    | Le micro ne fonctionne pas sur iMac et powerbook | <|> powermac
132 Mot inconnu : iMac [[159:163]] => | Apple                     | G4 desktop audio  | powermac  | Oui                    | Oui                                    | Le micro ne fonctionne pas sur iMac et powerbook | <|> imac
132 Mot inconnu : powerbook [[167:176]] => | Apple                     | G4 desktop audio  | powermac  | Oui                    | Oui                                    | Le micro ne fonctionne pas sur iMac et powerbook | <|> powerbook

134 Mot inconnu : Creative [[2:10]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> creative
134 Mot inconnu : Labs [[11:15]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> labs
134 Mot inconnu : Sound [[20:25]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> sound
134 Mot inconnu : Awe [[34:37]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> awe
134 Mot inconnu : snd_sbawe [[48:57]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> snd_sbawe
134 Accord de nombre erroné : « bios » est au pluriel. [[107:109]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> le => suggestions : ['les']
134 Accord de nombre erroné : « bios » devrait être au singulier. [[110:114]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> bios => suggestions : ['bio']
134 Mot inconnu : pnp [[122:125]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> pnp
134 Mot inconnu : tools [[126:131]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> tools
134 Mot inconnu : snd_sbawe [[200:209]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> snd_sbawe
134 Mot inconnu : isapnp [[210:216]] => | Creative Labs   | Sound Blaster Awe 32/64   | snd_sbawe    | Non   | Oui              | Il faut utiliser le bios ou les pnp tools pour régler la carte, puis ajouter a la fin de votre /etc/modules : snd_sbawe isapnp=1 | <|> isapnp

135 Mot inconnu : Creative [[2:10]] => | Creative Labs    | Sound Blaster Xfi (toute la famille de cartes) | ctxfi | Oui             | Oui            | Fonctionne en natif.| <|> creative
135 Mot inconnu : Labs [[11:15]] => | Creative Labs    | Sound Blaster Xfi (toute la famille de cartes) | ctxfi | Oui             | Oui            | Fonctionne en natif.| <|> labs
135 Mot inconnu : Sound [[21:26]] => | Creative Labs    | Sound Blaster Xfi (toute la famille de cartes) | ctxfi | Oui             | Oui            | Fonctionne en natif.| <|> sound
135 Mot inconnu : Xfi [[35:38]] => | Creative Labs    | Sound Blaster Xfi (toute la famille de cartes) | ctxfi | Oui             | Oui            | Fonctionne en natif.| <|> xfi
135 Mot inconnu : ctxfi [[70:75]] => | Creative Labs    | Sound Blaster Xfi (toute la famille de cartes) | ctxfi | Oui             | Oui            | Fonctionne en natif.| <|> ctxfi

136 Mot inconnu : Creative [[2:10]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> creative
136 Mot inconnu : Labs [[11:15]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> labs
136 Mot inconnu : Sound [[20:25]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> sound
136 Mot inconnu : Zx [[37:39]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> zx
136 Mot inconnu : ZxR [[42:45]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> zxr
136 Mot inconnu : Sound [[50:55]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> sound
136 Mot inconnu : Core [[56:60]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> core
136 Mot inconnu : kernels [[152:159]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> kernels
136 Mot inconnu : kernels [[212:219]] => | Creative Labs   | Sound Blaster Z, Zx & ZxR   | Sound Core 3D    | Oui et Non   | Oui et Non             | Cartes reconnues et fonctionnelles sur les kernels 32bits et reconnues mais non fonctionnelles sur les kernels 64bits. Support probable à partir du noyau 4.4. Voir ici => https://bugzilla.kernel.org/show_bug.cgi?id=55541 | <|> kernels

138 Mot inconnu : Fujitsu-Amilo [[11:24]] => | portable Fujitsu-Amilo 1705 | Via | VT82xx | oui | son ok mais faible | | <|> fujitsu-amilo
138 Mot inconnu : VT82xx [[38:44]] => | portable Fujitsu-Amilo 1705 | Via | VT82xx | oui | son ok mais faible | | <|> vt82xx
138 Mot inconnu : ok [[57:59]] => | portable Fujitsu-Amilo 1705 | Via | VT82xx | oui | son ok mais faible | | <|> ok

142 Accord de nombre erroné : « incompatibles » devrait être au singulier. [[17:30]] => ===== Cartes son incompatibles ===== <|> incompatibles => suggestions : ['incompatible']
149 Mot inconnu : P100-198 [[47:55]] => | Toshiba                          | Satellite P100-198           | Intel Corporation 82801G (ICH7 Family) High Definition Audio Controller (rev 02)                   | Non               | Non    | aucun son | <|> p100-198
149 Mot inconnu : ICH7 [[94:98]] => | Toshiba                          | Satellite P100-198           | Intel Corporation 82801G (ICH7 Family) High Definition Audio Controller (rev 02)                   | Non               | Non    | aucun son | <|> ich7
