
5 Mot inconnu : World => ====== World of Warcraft  ====== | world
841 Guillemets typographiques fermants. =>   * **SET specular "0"** : ne peut être utilisé sans SET pixelShaders "1". Active le Réhaussement spéculaire du terrain -> aspect brillant, reflets de certains objets (1 = activé, 0 = désactivé). | " => suggestions : ['\xa0»', '”']
841 Mot inconnu : pixelShaders =>   * **SET specular "0"** : ne peut être utilisé sans SET pixelShaders "1". Active le Réhaussement spéculaire du terrain -> aspect brillant, reflets de certains objets (1 = activé, 0 = désactivé). | pixelshaders
841 Guillemets typographiques ouvrants. =>   * **SET specular "0"** : ne peut être utilisé sans SET pixelShaders "1". Active le Réhaussement spéculaire du terrain -> aspect brillant, reflets de certains objets (1 = activé, 0 = désactivé). | " => suggestions : ['«\xa0', '“']
841 Guillemets typographiques fermants. =>   * **SET specular "0"** : ne peut être utilisé sans SET pixelShaders "1". Active le Réhaussement spéculaire du terrain -> aspect brillant, reflets de certains objets (1 = activé, 0 = désactivé). | " => suggestions : ['\xa0»', '”']
841 Mot inconnu : Réhaussement =>   * **SET specular "0"** : ne peut être utilisé sans SET pixelShaders "1". Active le Réhaussement spéculaire du terrain -> aspect brillant, reflets de certains objets (1 = activé, 0 = désactivé). | réhaussement

842 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). |    => suggestions : ['']
842 Mot inconnu : anisotropic =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). | anisotropic
842 Guillemets typographiques ouvrants. =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). | " => suggestions : ['«\xa0', '“']
842 Guillemets typographiques fermants. =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). | " => suggestions : ['\xa0»', '”']
842 Mot inconnu : anisotropique =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). | anisotropique
842 Accord de nombre erroné : « texture » devrait être au pluriel. =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). | texture => suggestions : ['textures']
842 Guillemets typographiques ouvrants. =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). | " => suggestions : ['«\xa0', '“']
842 Guillemets typographiques fermants. =>   * **SET anisotropic "1"** : active le filtre anisotropique qui améliore la qualité des texture. Il est toujours préférable d'activer cette option en jeu et laisser la carte graphique en "préférence d'application" (de 1 à 16, pour désactiver supprimer la ligne). | " => suggestions : ['\xa0»', '”']

843 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET trilinear "1"** : active le mode trilinéaire -> meilleure qualité (1 = activé, 0 = désactivé). |    => suggestions : ['']
843 Mot inconnu : trilinear =>   * **SET trilinear "1"** : active le mode trilinéaire -> meilleure qualité (1 = activé, 0 = désactivé). | trilinear
843 Guillemets typographiques ouvrants. =>   * **SET trilinear "1"** : active le mode trilinéaire -> meilleure qualité (1 = activé, 0 = désactivé). | " => suggestions : ['«\xa0', '“']
843 Guillemets typographiques fermants. =>   * **SET trilinear "1"** : active le mode trilinéaire -> meilleure qualité (1 = activé, 0 = désactivé). | " => suggestions : ['\xa0»', '”']

844 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET fullAlpha "0"** : active la transparence matérielle. A laisser désactivé sinon risque de grosse chute de performances lors de rencontre avec un objet invisible (1 = activé, 0 = désactivé). |    => suggestions : ['']
844 Mot inconnu : fullAlpha =>   * **SET fullAlpha "0"** : active la transparence matérielle. A laisser désactivé sinon risque de grosse chute de performances lors de rencontre avec un objet invisible (1 = activé, 0 = désactivé). | fullalpha
844 Guillemets typographiques ouvrants. =>   * **SET fullAlpha "0"** : active la transparence matérielle. A laisser désactivé sinon risque de grosse chute de performances lors de rencontre avec un objet invisible (1 = activé, 0 = désactivé). | " => suggestions : ['«\xa0', '“']
844 Guillemets typographiques fermants. =>   * **SET fullAlpha "0"** : active la transparence matérielle. A laisser désactivé sinon risque de grosse chute de performances lors de rencontre avec un objet invisible (1 = activé, 0 = désactivé). | " => suggestions : ['\xa0»', '”']
844 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   * **SET fullAlpha "0"** : active la transparence matérielle. A laisser désactivé sinon risque de grosse chute de performances lors de rencontre avec un objet invisible (1 = activé, 0 = désactivé). | a => suggestions : ['À']

845 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET MaxLights "1"** : nombre de sources lumineuses (de 1 à 4). |    => suggestions : ['']
845 Mot inconnu : MaxLights =>   * **SET MaxLights "1"** : nombre de sources lumineuses (de 1 à 4). | maxlights
845 Guillemets typographiques ouvrants. =>   * **SET MaxLights "1"** : nombre de sources lumineuses (de 1 à 4). | " => suggestions : ['«\xa0', '“']
845 Guillemets typographiques fermants. =>   * **SET MaxLights "1"** : nombre de sources lumineuses (de 1 à 4). | " => suggestions : ['\xa0»', '”']

846 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET frillDensity "1"** : taux de détails d'environnement (herbe, rochers, etc) (de 1 = désactivé à 128). |    => suggestions : ['']
846 Mot inconnu : frillDensity =>   * **SET frillDensity "1"** : taux de détails d'environnement (herbe, rochers, etc) (de 1 = désactivé à 128). | frilldensity
846 Guillemets typographiques ouvrants. =>   * **SET frillDensity "1"** : taux de détails d'environnement (herbe, rochers, etc) (de 1 = désactivé à 128). | " => suggestions : ['«\xa0', '“']
846 Guillemets typographiques fermants. =>   * **SET frillDensity "1"** : taux de détails d'environnement (herbe, rochers, etc) (de 1 = désactivé à 128). | " => suggestions : ['\xa0»', '”']

847 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET textureFilteringMode "0"** : qualité des textures vues de coté (de 0 à 5). |    => suggestions : ['']
847 Mot inconnu : textureFilteringMode =>   * **SET textureFilteringMode "0"** : qualité des textures vues de coté (de 0 à 5). | texturefilteringmode
847 Guillemets typographiques ouvrants. =>   * **SET textureFilteringMode "0"** : qualité des textures vues de coté (de 0 à 5). | " => suggestions : ['«\xa0', '“']
847 Guillemets typographiques fermants. =>   * **SET textureFilteringMode "0"** : qualité des textures vues de coté (de 0 à 5). | " => suggestions : ['\xa0»', '”']
847 Confusion : “coté” est le participe passé du verbe “coter”. =>   * **SET textureFilteringMode "0"** : qualité des textures vues de coté (de 0 à 5). | coté => suggestions : ['côté', 'côtés']

848 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET componentTextureLevel "9"** : qualité des textures des personnages (de 0 à 9). |    => suggestions : ['']
848 Mot inconnu : componentTextureLevel =>   * **SET componentTextureLevel "9"** : qualité des textures des personnages (de 0 à 9). | componenttexturelevel
848 Guillemets typographiques ouvrants. =>   * **SET componentTextureLevel "9"** : qualité des textures des personnages (de 0 à 9). | " => suggestions : ['«\xa0', '“']
848 Guillemets typographiques fermants. =>   * **SET componentTextureLevel "9"** : qualité des textures des personnages (de 0 à 9). | " => suggestions : ['\xa0»', '”']

849 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET characterAmbient "0.0"** : active le reflet des lumières ambiantes sur les personnages. |    => suggestions : ['']
849 Mot inconnu : characterAmbient =>   * **SET characterAmbient "0.0"** : active le reflet des lumières ambiantes sur les personnages. | characterambient
849 Guillemets typographiques ouvrants. =>   * **SET characterAmbient "0.0"** : active le reflet des lumières ambiantes sur les personnages. | " => suggestions : ['«\xa0', '“']
849 Guillemets typographiques fermants. =>   * **SET characterAmbient "0.0"** : active le reflet des lumières ambiantes sur les personnages. | " => suggestions : ['\xa0»', '”']

850 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET weatherDensity "3"** : activité météo (de 0 à 3). |    => suggestions : ['']
850 Mot inconnu : weatherDensity =>   * **SET weatherDensity "3"** : activité météo (de 0 à 3). | weatherdensity
850 Guillemets typographiques ouvrants. =>   * **SET weatherDensity "3"** : activité météo (de 0 à 3). | " => suggestions : ['«\xa0', '“']
850 Guillemets typographiques fermants. =>   * **SET weatherDensity "3"** : activité météo (de 0 à 3). | " => suggestions : ['\xa0»', '”']

851 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET baseMip "1"** : qualité des textures en général (1 = basse qualité, 0 = haute qualité). |    => suggestions : ['']
851 Mot inconnu : baseMip =>   * **SET baseMip "1"** : qualité des textures en général (1 = basse qualité, 0 = haute qualité). | basemip
851 Guillemets typographiques ouvrants. =>   * **SET baseMip "1"** : qualité des textures en général (1 = basse qualité, 0 = haute qualité). | " => suggestions : ['«\xa0', '“']
851 Guillemets typographiques fermants. =>   * **SET baseMip "1"** : qualité des textures en général (1 = basse qualité, 0 = haute qualité). | " => suggestions : ['\xa0»', '”']

852 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET groundEffectDist "140"** : distance d'affichage des objets au sol (de 70  à 200). |    => suggestions : ['']
852 Mot inconnu : groundEffectDist =>   * **SET groundEffectDist "140"** : distance d'affichage des objets au sol (de 70  à 200). | groundeffectdist
852 Guillemets typographiques ouvrants. =>   * **SET groundEffectDist "140"** : distance d'affichage des objets au sol (de 70  à 200). | " => suggestions : ['«\xa0', '“']
852 Guillemets typographiques fermants. =>   * **SET groundEffectDist "140"** : distance d'affichage des objets au sol (de 70  à 200). | " => suggestions : ['\xa0»', '”']
852 Espace(s) surnuméraire(s) à supprimer. =>   * **SET groundEffectDist "140"** : distance d'affichage des objets au sol (de 70  à 200). |    => suggestions : [' ']

853 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET groundEffectDensity "64"** : nombre d'objets affichés au sol (de 0 à 256). |    => suggestions : ['']
853 Mot inconnu : groundEffectDensity =>   * **SET groundEffectDensity "64"** : nombre d'objets affichés au sol (de 0 à 256). | groundeffectdensity
853 Guillemets typographiques ouvrants. =>   * **SET groundEffectDensity "64"** : nombre d'objets affichés au sol (de 0 à 256). | " => suggestions : ['«\xa0', '“']
853 Guillemets typographiques fermants. =>   * **SET groundEffectDensity "64"** : nombre d'objets affichés au sol (de 0 à 256). | " => suggestions : ['\xa0»', '”']

854 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET environmentDetail "1.5"** : taux d'objets affichés en général (de 0.5 à 1.5). |    => suggestions : ['']
854 Mot inconnu : environmentDetail =>   * **SET environmentDetail "1.5"** : taux d'objets affichés en général (de 0.5 à 1.5). | environmentdetail
854 Guillemets typographiques ouvrants. =>   * **SET environmentDetail "1.5"** : taux d'objets affichés en général (de 0.5 à 1.5). | " => suggestions : ['«\xa0', '“']
854 Guillemets typographiques fermants. =>   * **SET environmentDetail "1.5"** : taux d'objets affichés en général (de 0.5 à 1.5). | " => suggestions : ['\xa0»', '”']

855 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET extShadowQuality "5"** : qualité des ombres en général (de 0 à 5). |    => suggestions : ['']
855 Mot inconnu : extShadowQuality =>   * **SET extShadowQuality "5"** : qualité des ombres en général (de 0 à 5). | extshadowquality
855 Guillemets typographiques ouvrants. =>   * **SET extShadowQuality "5"** : qualité des ombres en général (de 0 à 5). | " => suggestions : ['«\xa0', '“']
855 Guillemets typographiques fermants. =>   * **SET extShadowQuality "5"** : qualité des ombres en général (de 0 à 5). | " => suggestions : ['\xa0»', '”']

856 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET particleDensity "1"** : nombre de particules utilisées pour les sorts et les feux (de 0 à 1). |    => suggestions : ['']
856 Mot inconnu : particleDensity =>   * **SET particleDensity "1"** : nombre de particules utilisées pour les sorts et les feux (de 0 à 1). | particledensity
856 Guillemets typographiques ouvrants. =>   * **SET particleDensity "1"** : nombre de particules utilisées pour les sorts et les feux (de 0 à 1). | " => suggestions : ['«\xa0', '“']
856 Guillemets typographiques fermants. =>   * **SET particleDensity "1"** : nombre de particules utilisées pour les sorts et les feux (de 0 à 1). | " => suggestions : ['\xa0»', '”']

857 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET ffxGlow "0"** : effet graphique adoucissant les contours et lumières (0 = Désactivé, 1 = activé). |    => suggestions : ['']
857 Mot inconnu : ffxGlow =>   * **SET ffxGlow "0"** : effet graphique adoucissant les contours et lumières (0 = Désactivé, 1 = activé). | ffxglow
857 Guillemets typographiques ouvrants. =>   * **SET ffxGlow "0"** : effet graphique adoucissant les contours et lumières (0 = Désactivé, 1 = activé). | " => suggestions : ['«\xa0', '“']
857 Guillemets typographiques fermants. =>   * **SET ffxGlow "0"** : effet graphique adoucissant les contours et lumières (0 = Désactivé, 1 = activé). | " => suggestions : ['\xa0»', '”']

858 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **SET projectedTextures "1"** : projection des textures sur l'environement (0 = désactivé, 1 = activé) (ATTENTION : grosse baisse de performances). |    => suggestions : ['']
858 Mot inconnu : projectedTextures =>   * **SET projectedTextures "1"** : projection des textures sur l'environement (0 = désactivé, 1 = activé) (ATTENTION : grosse baisse de performances). | projectedtextures
858 Guillemets typographiques ouvrants. =>   * **SET projectedTextures "1"** : projection des textures sur l'environement (0 = désactivé, 1 = activé) (ATTENTION : grosse baisse de performances). | " => suggestions : ['«\xa0', '“']
858 Guillemets typographiques fermants. =>   * **SET projectedTextures "1"** : projection des textures sur l'environement (0 = désactivé, 1 = activé) (ATTENTION : grosse baisse de performances). | " => suggestions : ['\xa0»', '”']
858 Mot inconnu : environement =>   * **SET projectedTextures "1"** : projection des textures sur l'environement (0 = désactivé, 1 = activé) (ATTENTION : grosse baisse de performances). | environement

862 Guillemets typographiques ouvrants. => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | " => suggestions : ['«\xa0', '“']
862 Mot inconnu : WTF => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | wtf
862 Mot inconnu : wtf => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | wtf
862 Guillemets typographiques fermants. => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | " => suggestions : ['\xa0»', '”']
862 Guillemets typographiques ouvrants. => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | " => suggestions : ['«\xa0', '“']
862 Mot inconnu : WTF => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | wtf
862 Mot inconnu : wtf => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | wtf
862 Guillemets typographiques fermants. => Si les réglages vidéo sont corrompus ou ne sont pas correctement configurés, vous pouvez rétablir les réglages d'origine à tout moment en effaçant le fichier "WTF/Config.wtf". Un nouveau fichier "WTF/Config.wtf" sera créé la prochaine fois que vous lancerez le jeu. Les réglages que vous modifiez dans une session ne sont pas toujours pris en compte tant que vous ne quittez pas le jeu. | " => suggestions : ['\xa0»', '”']

865 Mot inconnu : FPS => Pour visualiser les FPS et faire des réglages, appuyez sur ''CTRL+R'' ou passez votre souris sur le compteur de performances. Pour améliorer les performances, on peut également essayer de réduire la résolution du jeu et/ou à passer en mode fenêtré… | fps
865 Guillemets typographiques ouvrants. => Pour visualiser les FPS et faire des réglages, appuyez sur ''CTRL+R'' ou passez votre souris sur le compteur de performances. Pour améliorer les performances, on peut également essayer de réduire la résolution du jeu et/ou à passer en mode fenêtré… | '' => suggestions : ['«\xa0', '“']
865 Guillemets typographiques fermants. => Pour visualiser les FPS et faire des réglages, appuyez sur ''CTRL+R'' ou passez votre souris sur le compteur de performances. Pour améliorer les performances, on peut également essayer de réduire la résolution du jeu et/ou à passer en mode fenêtré… | '' => suggestions : ['\xa0»', '”']

870 Mot inconnu : wow => Depuis la version 3.2, les mises à jour automatiques ont tendance à rendre le démarrage de wow.exe impossible. | wow
870 Mot inconnu : exe => Depuis la version 3.2, les mises à jour automatiques ont tendance à rendre le démarrage de wow.exe impossible. | exe

871 Mot inconnu : WOW_PATH => En effet, la mise à jour modifie les droits sur les fichiers de $WOW_PATH. | wow_path

872 S’il s’agit d’une action que le sujet doit accomplir, le verbe devrait être à l’infinitif. => Pour remédier au problème, vous devez exécutez ces commandes : | exécutez => suggestions : ['exécuter']

879 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A noter que vous pouvez mettre ces deux lignes après la définition du $WOW_PATH si vous utilisez le script launch.sh pour démarrer WoW dans un autre serveur X. | a => suggestions : ['À']
879 Mot inconnu : WOW_PATH => A noter que vous pouvez mettre ces deux lignes après la définition du $WOW_PATH si vous utilisez le script launch.sh pour démarrer WoW dans un autre serveur X. | wow_path
879 Mot inconnu : launch => A noter que vous pouvez mettre ces deux lignes après la définition du $WOW_PATH si vous utilisez le script launch.sh pour démarrer WoW dans un autre serveur X. | launch
879 Mot inconnu : sh => A noter que vous pouvez mettre ces deux lignes après la définition du $WOW_PATH si vous utilisez le script launch.sh pour démarrer WoW dans un autre serveur X. | sh
879 Mot inconnu : WoW => A noter que vous pouvez mettre ces deux lignes après la définition du $WOW_PATH si vous utilisez le script launch.sh pour démarrer WoW dans un autre serveur X. | wow

881 Mot inconnu : WoW => Il peut arriver aussi que l'exécutable WoW.exe soit toujours en train de tourner suite à un plantage intempestif. | wow
881 Mot inconnu : exe => Il peut arriver aussi que l'exécutable WoW.exe soit toujours en train de tourner suite à un plantage intempestif. | exe

886 Mot inconnu : launch => dans le script launch.sh qui lance le jeu. | launch
886 Mot inconnu : sh => dans le script launch.sh qui lance le jeu. | sh

888 Mot inconnu : Freeze => ==== Freeze & Très faible FPS (IPS) ==== | freeze
888 Mot inconnu : FPS => ==== Freeze & Très faible FPS (IPS) ==== | fps
888 Mot inconnu : IPS => ==== Freeze & Très faible FPS (IPS) ==== | ips

890 Mot inconnu : freeze => Il est possible parfois que votre jeu freeze et que vos FPS chute de manière drastique (J'avais personnellement 2 IPS). | freeze
890 Mot inconnu : FPS => Il est possible parfois que votre jeu freeze et que vos FPS chute de manière drastique (J'avais personnellement 2 IPS). | fps
890 Mot inconnu : IPS => Il est possible parfois que votre jeu freeze et que vos FPS chute de manière drastique (J'avais personnellement 2 IPS). | ips

892 Il manque un espace. => Si vous avez peu de mémoire vive (<= 4Go), il est probable que le souci soit à ce niveau.Le problème vient du fait que Ubuntu est par défaut configuré pour mettre rapidement du cache dans le swap, qui est beaucoup plus lent que la RAM et donc fait "ramer" votre ordinateur. | le => suggestions : [' Le']
892 Accord erroné : “Ubuntu” et “configuré” ne sont pas accordés. Mettez au féminin pluriel. => Si vous avez peu de mémoire vive (<= 4Go), il est probable que le souci soit à ce niveau.Le problème vient du fait que Ubuntu est par défaut configuré pour mettre rapidement du cache dans le swap, qui est beaucoup plus lent que la RAM et donc fait "ramer" votre ordinateur. | configuré => suggestions : ['configurée']
892 Guillemets typographiques ouvrants. => Si vous avez peu de mémoire vive (<= 4Go), il est probable que le souci soit à ce niveau.Le problème vient du fait que Ubuntu est par défaut configuré pour mettre rapidement du cache dans le swap, qui est beaucoup plus lent que la RAM et donc fait "ramer" votre ordinateur. | " => suggestions : ['«\xa0', '“']
892 Guillemets typographiques fermants. => Si vous avez peu de mémoire vive (<= 4Go), il est probable que le souci soit à ce niveau.Le problème vient du fait que Ubuntu est par défaut configuré pour mettre rapidement du cache dans le swap, qui est beaucoup plus lent que la RAM et donc fait "ramer" votre ordinateur. | " => suggestions : ['\xa0»', '”']

894 Mot inconnu : swappiness => Pour résoudre ce souci, il faut modifier le [[https://help.ubuntu.com/community/SwapFaq/#What_is_swappiness_and_how_do_I_change_it.3F | swappiness]], c'est lui qui indiquera dans quelles proportions le noyau transférera les processus de la RAM au swap. | swappiness

896 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Le swappiness peut avoir une valeur entre 0 et 100. |    => suggestions : ['']
896 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Le swappiness peut avoir une valeur entre 0 et 100. |  -  => suggestions : [' – ', ' — ', ' − ']
896 Mot inconnu : swappiness =>   - Le swappiness peut avoir une valeur entre 0 et 100. | swappiness

897 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si le swappiness = 0, le noyau évitera le plus possible de transférer les processus de la mémoire vive à la mémoire swap. |    => suggestions : ['']
897 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si le swappiness = 0, le noyau évitera le plus possible de transférer les processus de la mémoire vive à la mémoire swap. |  -  => suggestions : [' – ', ' — ', ' − ']
897 Mot inconnu : swappiness =>   - Si le swappiness = 0, le noyau évitera le plus possible de transférer les processus de la mémoire vive à la mémoire swap. | swappiness

898 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Si le swappiness=100, le noyau transférera de manière agressive les processus de la mémoire vive à la mémoire swap. |    => suggestions : ['']
898 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Si le swappiness=100, le noyau transférera de manière agressive les processus de la mémoire vive à la mémoire swap. |  -  => suggestions : [' – ', ' — ', ' − ']
898 Mot inconnu : swappiness =>   - Si le swappiness=100, le noyau transférera de manière agressive les processus de la mémoire vive à la mémoire swap. | swappiness

900 Mot inconnu : swappiness => Le swappiness par défaut sur Ubuntu (Version actuelle : 13.04) est de 60. Si cette configuration est excellente pour un serveur, elle l'est beaucoup moins pour une utilisation de type bureau, où le swappiness recommandé est de 10. | swappiness
900 Mot inconnu : swappiness => Le swappiness par défaut sur Ubuntu (Version actuelle : 13.04) est de 60. Si cette configuration est excellente pour un serveur, elle l'est beaucoup moins pour une utilisation de type bureau, où le swappiness recommandé est de 10. | swappiness

902 Mot inconnu : swappiness => Pour vérifier la valeur de votre swappiness : | swappiness

906 Mot inconnu : swappiness => Pour modifier la valeur de votre swappiness de manière temporaire (perdue lors du reboot) : | swappiness
906 Mot inconnu : reboot => Pour modifier la valeur de votre swappiness de manière temporaire (perdue lors du reboot) : | reboot

910 Accord de nombre erroné avec « votre éditeur » : « favoris » devrait être au singulier. => Pour rendre ce changement permanent, éditez le fichier de configuration avec votre éditeur favoris : | favoris => suggestions : ['favori']

914 Guillemets typographiques ouvrants. => Cherchez la ligne pour "vm.swappiness" et changez la value selon vos besoins. Si cette ligne n'existe pas, il vous suffit de la créer à la fin du fichier : | " => suggestions : ['«\xa0', '“']
914 Mot inconnu : vm => Cherchez la ligne pour "vm.swappiness" et changez la value selon vos besoins. Si cette ligne n'existe pas, il vous suffit de la créer à la fin du fichier : | vm
914 Mot inconnu : swappiness => Cherchez la ligne pour "vm.swappiness" et changez la value selon vos besoins. Si cette ligne n'existe pas, il vous suffit de la créer à la fin du fichier : | swappiness
914 Guillemets typographiques fermants. => Cherchez la ligne pour "vm.swappiness" et changez la value selon vos besoins. Si cette ligne n'existe pas, il vous suffit de la créer à la fin du fichier : | " => suggestions : ['\xa0»', '”']

920 Mot inconnu : Firewall => ===== Ports Firewall ===== | firewall

921 Mot inconnu : firewall => Il est préférable d'ouvrir les ports de votre firewall (iptables) pour avoir "moins de difficultés" pour jouer ou pour télécharger un patch. Vous devez alors entrer ces commandes (cf. source pour la liste des ports) : | firewall
921 Mot inconnu : iptables => Il est préférable d'ouvrir les ports de votre firewall (iptables) pour avoir "moins de difficultés" pour jouer ou pour télécharger un patch. Vous devez alors entrer ces commandes (cf. source pour la liste des ports) : | iptables
921 Guillemets typographiques ouvrants. => Il est préférable d'ouvrir les ports de votre firewall (iptables) pour avoir "moins de difficultés" pour jouer ou pour télécharger un patch. Vous devez alors entrer ces commandes (cf. source pour la liste des ports) : | " => suggestions : ['«\xa0', '“']
921 Guillemets typographiques fermants. => Il est préférable d'ouvrir les ports de votre firewall (iptables) pour avoir "moins de difficultés" pour jouer ou pour télécharger un patch. Vous devez alors entrer ces commandes (cf. source pour la liste des ports) : | " => suggestions : ['\xa0»', '”']
922 Mot inconnu : eth0 => (Nom de la connexion : eth0 (à changer si vous êtes en wifi, entre autre)) | eth0
922 La locution “entre autres”, toujours au pluriel. => (Nom de la connexion : eth0 (à changer si vous êtes en wifi, entre autre)) | autre => suggestions : ['autres']

