
5 Mot inconnu : mount => ====== mount et fstab : Le montage des systèmes de fichiers ====== | mount
244 Espace(s) surnuméraire(s) à supprimer. => <note tip>Attention l'option **sync** ne concerne pas que le montage. En version 16.04.1, il semble que chaque  écriture sur partition NTFS  devienne synchrone avec le système de fichier et  la copie d'un fichier peut prendre 1000 (mille) fois plus de temps. Le débit chutant à **10 Ko/s**</note>  |    => suggestions : [' ']
244 Si “Ko/s” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => <note tip>Attention l'option **sync** ne concerne pas que le montage. En version 16.04.1, il semble que chaque  écriture sur partition NTFS  devienne synchrone avec le système de fichier et  la copie d'un fichier peut prendre 1000 (mille) fois plus de temps. Le débit chutant à **10 Ko/s**</note>  | 10 ko/s => suggestions : ['10\xa0Ko/s']
244 Espace(s) en fin de ligne à supprimer. => <note tip>Attention l'option **sync** ne concerne pas que le montage. En version 16.04.1, il semble que chaque  écriture sur partition NTFS  devienne synchrone avec le système de fichier et  la copie d'un fichier peut prendre 1000 (mille) fois plus de temps. Le débit chutant à **10 Ko/s**</note>  |   => suggestions : ['']

246 Mot inconnu : mount => Il y a aussi d'autres options possibles, Voir [[https://manpages.ubuntu.com/manpages/xenial/fr/man8/mount.8.html|man mount]] ou [[http://www.dsm.fordham.edu/cgi-bin/man-cgi.pl?topic=systemd.mount&ampsect=5]] | mount

247 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

248 Il manque un espace. => Voir aussi la page [[tutoriel:comment_acceder_a_ses_partitions_windows|Comment accéder à ses partitions Windows depuis GNU/Linux ?]] | comment_acceder_a_ses_partitions_windows => suggestions : [' comment_acceder_a_ses_partitions_windows']
248 Mot inconnu : comment_acceder_a_ses_partitions_windows => Voir aussi la page [[tutoriel:comment_acceder_a_ses_partitions_windows|Comment accéder à ses partitions Windows depuis GNU/Linux ?]] | comment_acceder_a_ses_partitions_windows

249 Il manque un espace. => et [[tutoriel:monterpartagewindows|Monter des partages Windows au démarrage]] | monterpartagewindows => suggestions : [' monterpartagewindows']
249 Mot inconnu : monterpartagewindows => et [[tutoriel:monterpartagewindows|Monter des partages Windows au démarrage]] | monterpartagewindows

251 Mot inconnu : __Problèmes => __Problèmes rencontrés lors de l'ajout d'un disque dur secondaire__  :\\ | __problèmes
251 Mot inconnu : secondaire__ => __Problèmes rencontrés lors de l'ajout d'un disque dur secondaire__  :\\ | secondaire__
251 Espace(s) surnuméraire(s) à supprimer. => __Problèmes rencontrés lors de l'ajout d'un disque dur secondaire__  :\\ |    => suggestions : [' ']

252 Mot inconnu : fstab => 1) Une erreur peut survenir lorsque l'on tente d'éditer le fichier fstab //(avec gedit par exemple)//. | fstab
252 Mot inconnu : gedit => 1) Une erreur peut survenir lorsque l'on tente d'éditer le fichier fstab //(avec gedit par exemple)//. | gedit

256 Mot inconnu : fstab => Une fois que la partition du disque supplémentaire est ainsi ajoutée dans le fichier fstab : | fstab

258 Mot inconnu : UUID => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | uuid
258 Mot inconnu : XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx
258 Espace(s) surnuméraire(s) à supprimer. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> |    => suggestions : [' ']
258 Espace(s) surnuméraire(s) à supprimer. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> |    => suggestions : [' ']
258 Mot inconnu : ext4 => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | ext4
258 Espace(s) surnuméraire(s) à supprimer. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> |    => suggestions : [' ']
258 Mot inconnu : rw => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | rw
258 Il manque un espace. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | suid => suggestions : [' suid']
258 Mot inconnu : suid => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | suid
258 Mot inconnu : dev => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | dev
258 Il manque un espace. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | noexec => suggestions : [' noexec']
258 Mot inconnu : noexec => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | noexec
258 Il manque un espace. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | nouser => suggestions : [' nouser']
258 Mot inconnu : nouser => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | nouser
258 Mot inconnu : async => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | async
258 Il manque un espace. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | noatime => suggestions : [' noatime']
258 Mot inconnu : noatime => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> | noatime
258 Espace(s) surnuméraire(s) à supprimer. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> |    => suggestions : [' ']
258 Espace(s) surnuméraire(s) à supprimer. => UUID=XXXXXXXX-XXXX-XXXX-XXXX-XXXXXXXXXXXX  /sauvegarde  ext4  rw,suid,dev,noexec,auto,nouser,async,noatime  0  2</code> |    => suggestions : [' ']

262 Pas d’espace après ce signe. => Comme ce dernier appartient ( légitimement ) à root, aucun autre utilisateur n'a le droit d'y écrire.\\ | (  => suggestions : ['(']
262 Pas d’espace avant ce signe. => Comme ce dernier appartient ( légitimement ) à root, aucun autre utilisateur n'a le droit d'y écrire.\\ |  ) => suggestions : [')']
262 Mot inconnu : root => Comme ce dernier appartient ( légitimement ) à root, aucun autre utilisateur n'a le droit d'y écrire.\\ | root

263 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => On peut se rendre **propriétaire** du point de montage - sachant que par conséquent seul cet utilisateur aura le droit d'écrire dans //toute// cette partition.\\ |  -  => suggestions : [' – ', ' — ', ' − ']

264 Mot inconnu : root => <note warning>Le dossier qui sert de point de montage à une partition appartient par défaut à //root:root//\\ | root

265 Mot inconnu : rwxr-xr-x => avec droits //rwxr-xr-x// ( ou 755 ) car il s'agit d'un élément //matériel// ( une partition ) géré par le //système//.\\ | rwxr-xr-x
265 Pas d’espace après ce signe. => avec droits //rwxr-xr-x// ( ou 755 ) car il s'agit d'un élément //matériel// ( une partition ) géré par le //système//.\\ | (  => suggestions : ['(']
265 Pas d’espace avant ce signe. => avec droits //rwxr-xr-x// ( ou 755 ) car il s'agit d'un élément //matériel// ( une partition ) géré par le //système//.\\ |  ) => suggestions : [')']
265 Pas d’espace après ce signe. => avec droits //rwxr-xr-x// ( ou 755 ) car il s'agit d'un élément //matériel// ( une partition ) géré par le //système//.\\ | (  => suggestions : ['(']
265 Pas d’espace avant ce signe. => avec droits //rwxr-xr-x// ( ou 755 ) car il s'agit d'un élément //matériel// ( une partition ) géré par le //système//.\\ |  ) => suggestions : [')']

269 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un « principal » **lui appartenant**, //dans// lequel il pourra écrire, modifier, supprimer… ranger toutes //ses// affaires ;\\ |    => suggestions : ['']

270 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * un dossier corbeille, **appartenant** à cet utilisateur ( sous Linux, il y a une corbeille par partition //et// par utilisateur. ) |    => suggestions : ['']
270 Pas d’espace après ce signe. =>   * un dossier corbeille, **appartenant** à cet utilisateur ( sous Linux, il y a une corbeille par partition //et// par utilisateur. ) | (  => suggestions : ['(']
270 Pas d’espace avant ce signe. =>   * un dossier corbeille, **appartenant** à cet utilisateur ( sous Linux, il y a une corbeille par partition //et// par utilisateur. ) |  ) => suggestions : [')']

272 Mot inconnu : chmod => **Rappelons qu'un //chmod 777// est DANGEREUX** :\\ | chmod

273 Mot inconnu : rwxrwx => un élément qui porte les droits //rwxrwx**rwx**// accorde //tous les droits// à quiconque y accédant ( localement ou à distance )…</note> | rwxrwx
273 Mot inconnu : rwx => un élément qui porte les droits //rwxrwx**rwx**// accorde //tous les droits// à quiconque y accédant ( localement ou à distance )…</note> | rwx
273 Pas d’espace après ce signe. => un élément qui porte les droits //rwxrwx**rwx**// accorde //tous les droits// à quiconque y accédant ( localement ou à distance )…</note> | (  => suggestions : ['(']
273 Pas d’espace avant ce signe. => un élément qui porte les droits //rwxrwx**rwx**// accorde //tous les droits// à quiconque y accédant ( localement ou à distance )…</note> |  ) => suggestions : [')']

274 Mot inconnu : __seul__ => Si on est __seul__ utilisateur du pc, ceci suffirait ( mais n'est pas idéal car restrictif ) : | __seul__
274 Pas d’espace après ce signe. => Si on est __seul__ utilisateur du pc, ceci suffirait ( mais n'est pas idéal car restrictif ) : | (  => suggestions : ['(']
274 Pas d’espace avant ce signe. => Si on est __seul__ utilisateur du pc, ceci suffirait ( mais n'est pas idéal car restrictif ) : |  ) => suggestions : [')']

276 Mot inconnu : __familiale__ => Dans le cadre d'une utilisation __familiale__, avec plusieurs utilisateurs //toto, tata et titi//, et un groupe appelé, disons //famille//, on procédera autrement : | __familiale__

277 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * on s'assure que les droits et permissions du point de montage sont dans la situation saine et souhaitable pour du //matériel// : |    => suggestions : ['']

279 Mot inconnu : sudo => sudo chmod 755 /sauvegarde</code> | sudo
279 Mot inconnu : chmod => sudo chmod 755 /sauvegarde</code> | chmod

280 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * on crée à la racine de cette partition les dossiers pour chaque utilisateur //toto, tata, titi// et //famille// : |    => suggestions : ['']

282 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * on attribue chacun de ces répertoires à ses propriétaires adéquats :\\ |    => suggestions : ['']

286 Mot inconnu : sudo => sudo chown root:famille  /sauvegarde/famille</code> | sudo
286 Mot inconnu : chown => sudo chown root:famille  /sauvegarde/famille</code> | chown
286 Mot inconnu : root => sudo chown root:famille  /sauvegarde/famille</code> | root
286 Il manque un espace. => sudo chown root:famille  /sauvegarde/famille</code> | famille => suggestions : [' famille']
286 Espace(s) surnuméraire(s) à supprimer. => sudo chown root:famille  /sauvegarde/famille</code> |    => suggestions : [' ']

288 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ce dossier ( dont //les// propriétaires sont l'utilisateur //root// et le groupe //famille// ) accorde le **droit d'écriture au groupe //famille//**, |    => suggestions : ['']
288 Pas d’espace après ce signe. =>   * ce dossier ( dont //les// propriétaires sont l'utilisateur //root// et le groupe //famille// ) accorde le **droit d'écriture au groupe //famille//**, | (  => suggestions : ['(']
288 Pas d’espace avant ce signe. =>   * ce dossier ( dont //les// propriétaires sont l'utilisateur //root// et le groupe //famille// ) accorde le **droit d'écriture au groupe //famille//**, |  ) => suggestions : [')']

289 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les éléments créés dans ce dossier **« héritent » les droits et permissions du groupe** de ce dossier |    => suggestions : ['']

292 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * seul l'utilisateur **toto** peut écrire, modifier, supprimer des éléments dans **son** dossier ''/sauvegarde/toto'', les //autres// peuvent seulement lire et accéder à ce dossier ; |    => suggestions : ['']
292 Guillemets typographiques fermants. =>   * seul l'utilisateur **toto** peut écrire, modifier, supprimer des éléments dans **son** dossier ''/sauvegarde/toto'', les //autres// peuvent seulement lire et accéder à ce dossier ; | '' => suggestions : ['\xa0»', '”']

293 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * seul l'utilisateur **tata** peut écrire, modifier, supprimer des éléments dans **son** dossier ''/sauvegarde/tata'', les //autres// peuvent seulement lire et accéder à ce dossier ; |    => suggestions : ['']
293 Guillemets typographiques fermants. =>   * seul l'utilisateur **tata** peut écrire, modifier, supprimer des éléments dans **son** dossier ''/sauvegarde/tata'', les //autres// peuvent seulement lire et accéder à ce dossier ; | '' => suggestions : ['\xa0»', '”']

294 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * seul l'utilisateur **titi** peut écrire, modifier, supprimer des éléments dans **son** dossier ''/sauvegarde/titi'', les //autres// peuvent seulement lire et accéder à ce dossier ; |    => suggestions : ['']
294 Guillemets typographiques fermants. =>   * seul l'utilisateur **titi** peut écrire, modifier, supprimer des éléments dans **son** dossier ''/sauvegarde/titi'', les //autres// peuvent seulement lire et accéder à ce dossier ; | '' => suggestions : ['\xa0»', '”']

295 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **seuls** les utilisateurs **membres** du groupe //famille// peuvent écrire, modifier, supprimer des éléments dans le dossier ''/sauvegarde/famille'', les //autres// peuvent seulement lire et accéder à ce dossier. |    => suggestions : ['']
295 Guillemets typographiques fermants. =>   * **seuls** les utilisateurs **membres** du groupe //famille// peuvent écrire, modifier, supprimer des éléments dans le dossier ''/sauvegarde/famille'', les //autres// peuvent seulement lire et accéder à ce dossier. | '' => suggestions : ['\xa0»', '”']

297 Guillemets typographiques fermants. => Si vous êtes un peu parano, et souhaitez que **seuls les membres du groupe //famille//** puissent accéder au dossier ''/sauvegarde/famille'' alors :\\ | '' => suggestions : ['\xa0»', '”']

299 Guillemets typographiques fermants. => En l'état dans ce dossier ''/sauvegarde/famille'' tous les membres du groupe //famille// peuvent effacer n'importe quel élément : //toto// pourrait effacer un élément appartenant à //titi// ou //tata//, et vice-versa. Si vous souhaitez restreindre **la possibilité d'effacer à seulement l'utilisateur propriétaire d'un élément** alors : | '' => suggestions : ['\xa0»', '”']

301 Mot inconnu : __sources => __sources :__\\ | __sources
301 Mot inconnu : __ => __sources :__\\ | __

302 Mot inconnu : sgid => [[https://www.redhat.com/sysadmin/suid-sgid-sticky-bit|les bits sgid suid et sticky]] ⋅ [[droits|Droits d'accès sous Linux : gérer les accès aux fichiers]] ⋅ [[permissions|Gérer les droits d'accès (propriétés et permissions) des fichiers et répertoires]]\\ | sgid
302 Mot inconnu : suid => [[https://www.redhat.com/sysadmin/suid-sgid-sticky-bit|les bits sgid suid et sticky]] ⋅ [[droits|Droits d'accès sous Linux : gérer les accès aux fichiers]] ⋅ [[permissions|Gérer les droits d'accès (propriétés et permissions) des fichiers et répertoires]]\\ | suid
302 Mot inconnu : sticky => [[https://www.redhat.com/sysadmin/suid-sgid-sticky-bit|les bits sgid suid et sticky]] ⋅ [[droits|Droits d'accès sous Linux : gérer les accès aux fichiers]] ⋅ [[permissions|Gérer les droits d'accès (propriétés et permissions) des fichiers et répertoires]]\\ | sticky

303 Mot inconnu : organiser_data_utilisateurs => [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22544820#p22544820|exemple commenté]] dans le forum ou ce [[organiser_data_utilisateurs#mise_en_œuvre|point 4.1]] d'une doc' qui évoquent la création des **corbeilles**. | organiser_data_utilisateurs
303 Guillemets typographiques fermants. => [[https://forum.ubuntu-fr.org/viewtopic.php?pid=22544820#p22544820|exemple commenté]] dans le forum ou ce [[organiser_data_utilisateurs#mise_en_œuvre|point 4.1]] d'une doc' qui évoquent la création des **corbeilles**. | ' => suggestions : ['”', '’', '›']

306 Guillemets typographiques ouvrants. => Enfin, pour avoir le **lien** vers "sauvegarde" dans le volet de gauche de votre gestionnaire de fichiers, il sera nécessaire de vous rendre manuellement dans ce répertoire, puis de lui attribuer un signet ou marque-page (le nom et la méthode varient selon votre gestionnaire de fichiers).\\ | " => suggestions : ['«\xa0', '“']
306 Guillemets typographiques fermants. => Enfin, pour avoir le **lien** vers "sauvegarde" dans le volet de gauche de votre gestionnaire de fichiers, il sera nécessaire de vous rendre manuellement dans ce répertoire, puis de lui attribuer un signet ou marque-page (le nom et la méthode varient selon votre gestionnaire de fichiers).\\ | " => suggestions : ['\xa0»', '”']

308 Guillemets typographiques fermants. => plutôt que de créer ce point de montage ''/sauvegarde'' à la racine de votre système, créez le dans le dossier ''/media'' :\\ | '' => suggestions : ['\xa0»', '”']
308 S’il s’agit d’un impératif, mettez un trait d’union. => plutôt que de créer ce point de montage ''/sauvegarde'' à la racine de votre système, créez le dans le dossier ''/media'' :\\ | créez le => suggestions : ['créez-le']
308 Guillemets typographiques fermants. => plutôt que de créer ce point de montage ''/sauvegarde'' à la racine de votre système, créez le dans le dossier ''/media'' :\\ | '' => suggestions : ['\xa0»', '”']

309 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * tout élément visible dans ce dossier conventionnel apparaît automatiquement dans le volet latéral de la plupart des explorateurs de fichiers ( sous « périphériques » ou « autres emplacements » selon l'explorateur. )\\ |    => suggestions : ['']
309 Pas d’espace après ce signe. =>   * tout élément visible dans ce dossier conventionnel apparaît automatiquement dans le volet latéral de la plupart des explorateurs de fichiers ( sous « périphériques » ou « autres emplacements » selon l'explorateur. )\\ | (  => suggestions : ['(']
309 Pas d’espace avant ce signe. =>   * tout élément visible dans ce dossier conventionnel apparaît automatiquement dans le volet latéral de la plupart des explorateurs de fichiers ( sous « périphériques » ou « autres emplacements » selon l'explorateur. )\\ |  ) => suggestions : [')']

310 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * par ailleurs les applications « confinées » ( type [[snap|snap]] ou [[flatpak|flatpak]] ) se banalisant, un tel point de montage directement à la racine système leur est inaccessible. |    => suggestions : ['']
310 Pas d’espace après ce signe. =>   * par ailleurs les applications « confinées » ( type [[snap|snap]] ou [[flatpak|flatpak]] ) se banalisant, un tel point de montage directement à la racine système leur est inaccessible. | (  => suggestions : ['(']
310 Pas d’espace avant ce signe. =>   * par ailleurs les applications « confinées » ( type [[snap|snap]] ou [[flatpak|flatpak]] ) se banalisant, un tel point de montage directement à la racine système leur est inaccessible. |  ) => suggestions : [')']

313 Espace(s) surnuméraire(s) à supprimer. => Dans certains [[https://forum.ubuntu-fr.org/viewtopic.php?id=2036205|contextes]], il peut être intéressant de ne pas monter automatiquement une partition et de la masquer aux techniques de montage en mode graphique.    Cela n'exclut pas une possibilité de montage en ligne de commande. |      => suggestions : [' ']

315 Espace(s) surnuméraire(s) à supprimer. => Par exemple, pour masquer la partition contenant le  logiciel de windows, les deux lignes à ajouter pourraient être  |    => suggestions : [' ']
315 Espace(s) en fin de ligne à supprimer. => Par exemple, pour masquer la partition contenant le  logiciel de windows, les deux lignes à ajouter pourraient être  |   => suggestions : ['']

320 Mot inconnu : mtab => ===== Le fichier mtab ===== | mtab

322 Mot inconnu : mtab => Le fichier ///**etc/mtab**// contient la liste des montages effectués, que ce soit via fstab ou en ligne de commande avec mount. Il peut être utile de visualiser son contenu pour vérifier qu'un montage est effectif. \\ | mtab
322 Mot inconnu : fstab => Le fichier ///**etc/mtab**// contient la liste des montages effectués, que ce soit via fstab ou en ligne de commande avec mount. Il peut être utile de visualiser son contenu pour vérifier qu'un montage est effectif. \\ | fstab
322 Mot inconnu : mount => Le fichier ///**etc/mtab**// contient la liste des montages effectués, que ce soit via fstab ou en ligne de commande avec mount. Il peut être utile de visualiser son contenu pour vérifier qu'un montage est effectif. \\ | mount

323 Mot inconnu : mount => Mieux encore, il peut servir de base, après un test avec mount, pour modifier le fichier fstab. Voir le tutoriel à ce sujet : [[tutoriel/monter_un_volume_automatiquement|tutoriel monter un volume automatiquement]] | mount
323 Mot inconnu : fstab => Mieux encore, il peut servir de base, après un test avec mount, pour modifier le fichier fstab. Voir le tutoriel à ce sujet : [[tutoriel/monter_un_volume_automatiquement|tutoriel monter un volume automatiquement]] | fstab
323 Mot inconnu : monter_un_volume_automatiquement => Mieux encore, il peut servir de base, après un test avec mount, pour modifier le fichier fstab. Voir le tutoriel à ce sujet : [[tutoriel/monter_un_volume_automatiquement|tutoriel monter un volume automatiquement]] | monter_un_volume_automatiquement

325 Guillemets typographiques ouvrants. => ===== Monter un répertoire avec l'option ''bind'' de la commande ''mount'' ===== | '' => suggestions : ['«\xa0', '“']
325 Mot inconnu : bind => ===== Monter un répertoire avec l'option ''bind'' de la commande ''mount'' ===== | bind
325 Guillemets typographiques fermants. => ===== Monter un répertoire avec l'option ''bind'' de la commande ''mount'' ===== | '' => suggestions : ['\xa0»', '”']
325 Guillemets typographiques ouvrants. => ===== Monter un répertoire avec l'option ''bind'' de la commande ''mount'' ===== | '' => suggestions : ['«\xa0', '“']
325 Mot inconnu : mount => ===== Monter un répertoire avec l'option ''bind'' de la commande ''mount'' ===== | mount
325 Guillemets typographiques fermants. => ===== Monter un répertoire avec l'option ''bind'' de la commande ''mount'' ===== | '' => suggestions : ['\xa0»', '”']

329 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour monter des fichiers dans un système de fichiers en lecture seule (où on ne peut donc pas créer de liens) (CD,…) |    => suggestions : ['']
329 Typographie : pas de virgule avant les points de suspension. =>   * pour monter des fichiers dans un système de fichiers en lecture seule (où on ne peut donc pas créer de liens) (CD,…) | ,… => suggestions : ['…']

330 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour monter des fichiers (fichiers compressés squashfs,…) |    => suggestions : ['']
330 Mot inconnu : squashfs =>   * pour monter des fichiers (fichiers compressés squashfs,…) | squashfs
330 Typographie : pas de virgule avant les points de suspension. =>   * pour monter des fichiers (fichiers compressés squashfs,…) | ,… => suggestions : ['…']

331 Guillemets typographiques ouvrants. => Cela est possible avec l'option "bind". \\ | " => suggestions : ['«\xa0', '“']
331 Mot inconnu : bind => Cela est possible avec l'option "bind". \\ | bind
331 Guillemets typographiques fermants. => Cela est possible avec l'option "bind". \\ | " => suggestions : ['\xa0»', '”']

333 Guillemets typographiques fermants. => Par exemple, dans le cas où ''/mnt/read-only'' est en lecture seule et où on veut remplacer ''/mnt/read-only/mauvais-fichier'' par ''/home/linux/bon-fichier'' : | '' => suggestions : ['\xa0»', '”']
333 Guillemets typographiques fermants. => Par exemple, dans le cas où ''/mnt/read-only'' est en lecture seule et où on veut remplacer ''/mnt/read-only/mauvais-fichier'' par ''/home/linux/bon-fichier'' : | '' => suggestions : ['\xa0»', '”']
333 Guillemets typographiques fermants. => Par exemple, dans le cas où ''/mnt/read-only'' est en lecture seule et où on veut remplacer ''/mnt/read-only/mauvais-fichier'' par ''/home/linux/bon-fichier'' : | '' => suggestions : ['\xa0»', '”']

338 Pas d’espace avant ce signe. => Si on veut rendre un dossier privé public (comme un lien, en fait ) |  ) => suggestions : [')']
340 Guillemets typographiques fermants. => Ici, les droits d'écriture ne changent pas : si vous voulez donner le droit d'écrire aux autres utilisateurs, il faudra modifier aussi les droits de ''/home/moi/dossier-à-partager'' et pas seulement à ''/home/répertoire-accessible-à-tous''. | '' => suggestions : ['\xa0»', '”']
340 Guillemets typographiques fermants. => Ici, les droits d'écriture ne changent pas : si vous voulez donner le droit d'écrire aux autres utilisateurs, il faudra modifier aussi les droits de ''/home/moi/dossier-à-partager'' et pas seulement à ''/home/répertoire-accessible-à-tous''. | '' => suggestions : ['\xa0»', '”']
347 Mot inconnu : static => # /etc/fstab: static file system information. | static
347 Mot inconnu : system => # /etc/fstab: static file system information. | system

350 Mot inconnu : bind => # Un montage bind : | bind

351 Espace(s) surnuméraire(s) à supprimer. => /home/linux/bon-fichier   /mnt/read-only/mauvais-fichier     none       bind      0   0 |     => suggestions : [' ']
351 Espace(s) surnuméraire(s) à supprimer. => /home/linux/bon-fichier   /mnt/read-only/mauvais-fichier     none       bind      0   0 |       => suggestions : [' ']
351 Espace(s) surnuméraire(s) à supprimer. => /home/linux/bon-fichier   /mnt/read-only/mauvais-fichier     none       bind      0   0 |         => suggestions : [' ']
351 Mot inconnu : bind => /home/linux/bon-fichier   /mnt/read-only/mauvais-fichier     none       bind      0   0 | bind
351 Espace(s) surnuméraire(s) à supprimer. => /home/linux/bon-fichier   /mnt/read-only/mauvais-fichier     none       bind      0   0 |        => suggestions : [' ']
351 Espace(s) surnuméraire(s) à supprimer. => /home/linux/bon-fichier   /mnt/read-only/mauvais-fichier     none       bind      0   0 |     => suggestions : [' ']

356 Mot inconnu : UUID => ==== UUID non valides ==== | uuid

357 Mot inconnu : fstab => Le fichier fstab peut vouloir monter des partitions avec des erreurs dans les identifiants UUID. | fstab
357 Mot inconnu : UUID => Le fichier fstab peut vouloir monter des partitions avec des erreurs dans les identifiants UUID. | uuid

359 Mot inconnu : UUID => Ce script permet de vérifier que tous les UUID sont correctes dans le fstab : | uuid
359 Mot inconnu : fstab => Ce script permet de vérifier que tous les UUID sont correctes dans le fstab : | fstab

364 Mot inconnu : fstabUUID => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" | fstabuuid
364 Mot inconnu : sed => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" | sed
364 Il manque un espace à côté du tiret. => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" |  - => suggestions : [' – ', ' — ']
364 Mot inconnu : nE => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" | ne
364 Guillemets typographiques ouvrants. => fstabUUID="$(sed -nE 's/UUID=([^ ]+) .*/\1/p' /etc/fstab)" | ' => suggestions : ['“', '‘', '‹']
