
5 Mot inconnu : One => =======Acer Aspire One======= | one
366 Espace(s) en fin de ligne à supprimer. => install sdhci for i in 2381 2382 2383 2384; do /usr/bin/setpci -d 197b:$i AE=47; done; /sbin/modprobe --ignore-install</file>  |   => suggestions : ['']

370 Mot inconnu : pciehp => pciehp . | pciehp

371 Espace(s) en fin de ligne à supprimer. => </file>  |   => suggestions : ['']

376 Mot inconnu : One => Le SSD du One est une calamité, freezes fréquents et longs (pour le A110 en tout cas). | one
376 Mot inconnu : freezes => Le SSD du One est une calamité, freezes fréquents et longs (pour le A110 en tout cas). | freezes
376 Mot inconnu : A110 => Le SSD du One est une calamité, freezes fréquents et longs (pour le A110 en tout cas). | a110

378 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => === 1ère solution=== | 1ère => suggestions : ['1ʳᵉ']

380 Mot inconnu : Swâmi => L'installation du noyau personnalisé 2.6.27 de Swâmi Petaramesh résout partiellement le problème. | swâmi
380 Mot inconnu : Petaramesh => L'installation du noyau personnalisé 2.6.27 de Swâmi Petaramesh résout partiellement le problème. | petaramesh

382 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => ===2ème solution=== | 2ème => suggestions : ['2ᵉ']

384 Mot inconnu : HDD => Voici un tuto pour changer le disque SSD d'origine avec un HDD de 1,8 pouces : [[http://www.blogeee.net/2008/08/25/guide-installer-un-disque-18-dans-son-aspire-one-a110/|Installer un disque 1,8p sur l'A110]] | hdd
384 Mot inconnu : A110 => Voici un tuto pour changer le disque SSD d'origine avec un HDD de 1,8 pouces : [[http://www.blogeee.net/2008/08/25/guide-installer-un-disque-18-dans-son-aspire-one-a110/|Installer un disque 1,8p sur l'A110]] | a110

386 Mot inconnu : HDD => (les HDD 1,8 pouces sont peu performants) | hdd

389 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => ===3ème solution=== | 3ème => suggestions : ['3ᵉ']

391 Guillemets typographiques fermants. => Utiliser un disque dur externe portable de 2,5" en USB et démarrer dessus. | " => suggestions : ['\xa0»', '”']

396 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => ===4ème solution=== | 4ème => suggestions : ['4ᵉ']

398 Mot inconnu : SD => Utiliser le lecteur SD à gauche et installer l'OS ou une clé USB de 2 Gio minimum | sd
398 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Utiliser le lecteur SD à gauche et installer l'OS ou une clé USB de 2 Gio minimum | 2 gio => suggestions : ['2\xa0Gio']

400 Mot inconnu : ext2 => <note tip>En plus de toutes les méthodes citées ci-dessus penser à utiliser des partitions en ext2 (vous perdez la journalisation des fichiers par rapport à l'ext3, mais vous y gagnez en réactivité, petite concession bien utile ;) ).</note> | ext2
400 Mot inconnu : ext3 => <note tip>En plus de toutes les méthodes citées ci-dessus penser à utiliser des partitions en ext2 (vous perdez la journalisation des fichiers par rapport à l'ext3, mais vous y gagnez en réactivité, petite concession bien utile ;) ).</note> | ext3
400 Pas d’espace avant ce signe. => <note tip>En plus de toutes les méthodes citées ci-dessus penser à utiliser des partitions en ext2 (vous perdez la journalisation des fichiers par rapport à l'ext3, mais vous y gagnez en réactivité, petite concession bien utile ;) ).</note> |  ) => suggestions : [')']

402 Mot inconnu : SATA => ====Disque dur SATA==== | sata

409 Mot inconnu : AO531h => <note important>Sur mon AO531h à partir du noyau 3.0.0 sous oneiric le Wifi ne marche plus. La solution est d'utiliser un noyau précédent.</note> | ao531h
409 Mot inconnu : oneiric => <note important>Sur mon AO531h à partir du noyau 3.0.0 sous oneiric le Wifi ne marche plus. La solution est d'utiliser un noyau précédent.</note> | oneiric

411 Mot inconnu : Reatlek => Pas de problème particulier (Reatlek RTL 8101E) est reconnu en natif. | reatlek
411 Mot inconnu : RTL => Pas de problème particulier (Reatlek RTL 8101E) est reconnu en natif. | rtl

412 Mot inconnu : bootant => En cas de problème, la mise à jour du noyau 2.6.27.11 (depuis le 5 avril 2009) permet de retrouver le filaire eth. Cette mise à jour peut se faire en bootant sur les noyaux 2.6.27.7 ou 2.6.27.9 | bootant

418 Mot inconnu : aao => <note important>Il faut noter que pour certains modèles (dont l'aao D250), le micro est reconnu out-of-the-box mais il fonctionne très bas (seulement lorsqu'on applaudis ou lorsqu'on parle "sur" le micro). Pour qu'il fonctionne correctement, il suffit de régler quelques canaux dans le contrôle de volume (il faut d'abord permettre leur affichage dans le contrôle du volume).</note> | aao
418 Mot inconnu : D250 => <note important>Il faut noter que pour certains modèles (dont l'aao D250), le micro est reconnu out-of-the-box mais il fonctionne très bas (seulement lorsqu'on applaudis ou lorsqu'on parle "sur" le micro). Pour qu'il fonctionne correctement, il suffit de régler quelques canaux dans le contrôle de volume (il faut d'abord permettre leur affichage dans le contrôle du volume).</note> | d250
418 Mot inconnu : out-of-the-box => <note important>Il faut noter que pour certains modèles (dont l'aao D250), le micro est reconnu out-of-the-box mais il fonctionne très bas (seulement lorsqu'on applaudis ou lorsqu'on parle "sur" le micro). Pour qu'il fonctionne correctement, il suffit de régler quelques canaux dans le contrôle de volume (il faut d'abord permettre leur affichage dans le contrôle du volume).</note> | out-of-the-box
418 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note important>Il faut noter que pour certains modèles (dont l'aao D250), le micro est reconnu out-of-the-box mais il fonctionne très bas (seulement lorsqu'on applaudis ou lorsqu'on parle "sur" le micro). Pour qu'il fonctionne correctement, il suffit de régler quelques canaux dans le contrôle de volume (il faut d'abord permettre leur affichage dans le contrôle du volume).</note> |  mais => suggestions : [', mais']
418 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => <note important>Il faut noter que pour certains modèles (dont l'aao D250), le micro est reconnu out-of-the-box mais il fonctionne très bas (seulement lorsqu'on applaudis ou lorsqu'on parle "sur" le micro). Pour qu'il fonctionne correctement, il suffit de régler quelques canaux dans le contrôle de volume (il faut d'abord permettre leur affichage dans le contrôle du volume).</note> | applaudis => suggestions : ['applaudissait', 'applaudit']
418 Guillemets typographiques ouvrants. => <note important>Il faut noter que pour certains modèles (dont l'aao D250), le micro est reconnu out-of-the-box mais il fonctionne très bas (seulement lorsqu'on applaudis ou lorsqu'on parle "sur" le micro). Pour qu'il fonctionne correctement, il suffit de régler quelques canaux dans le contrôle de volume (il faut d'abord permettre leur affichage dans le contrôle du volume).</note> | " => suggestions : ['«\xa0', '“']
418 Guillemets typographiques fermants. => <note important>Il faut noter que pour certains modèles (dont l'aao D250), le micro est reconnu out-of-the-box mais il fonctionne très bas (seulement lorsqu'on applaudis ou lorsqu'on parle "sur" le micro). Pour qu'il fonctionne correctement, il suffit de régler quelques canaux dans le contrôle de volume (il faut d'abord permettre leur affichage dans le contrôle du volume).</note> | " => suggestions : ['\xa0»', '”']
420 Mot inconnu : Karmic => Voici la procédure à suivre sous Kubuntu 9.10 Karmic Koala : | karmic

421 Mot inconnu : Kmix => clic gauche sur Kmix (le contrôleur de volume de la boîte à miniature) -> "Mixeur" | kmix
421 Guillemets typographiques ouvrants. => clic gauche sur Kmix (le contrôleur de volume de la boîte à miniature) -> "Mixeur" | " => suggestions : ['«\xa0', '“']
421 Guillemets typographiques fermants. => clic gauche sur Kmix (le contrôleur de volume de la boîte à miniature) -> "Mixeur" | " => suggestions : ['\xa0»', '”']

422 Guillemets typographiques ouvrants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['«\xa0', '“']
422 Guillemets typographiques fermants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['\xa0»', '”']
422 Guillemets typographiques ouvrants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['«\xa0', '“']
422 Guillemets typographiques fermants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['\xa0»', '”']
422 Guillemets typographiques ouvrants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['«\xa0', '“']
422 Mot inconnu : Mic => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | mic
422 Guillemets typographiques fermants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['\xa0»', '”']
422 Guillemets typographiques ouvrants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['«\xa0', '“']
422 Guillemets typographiques fermants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['\xa0»', '”']
422 Guillemets typographiques ouvrants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['«\xa0', '“']
422 Guillemets typographiques fermants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['\xa0»', '”']
422 Mot inconnu : mettres => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | mettres
422 Guillemets typographiques ouvrants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['«\xa0', '“']
422 Guillemets typographiques fermants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['\xa0»', '”']
422 Guillemets typographiques ouvrants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['«\xa0', '“']
422 Guillemets typographiques fermants. => \\ Une fois dans le mixeur, aller dans le menu "configuration"-> "configurer les canaux". Là il faut sélectionner "Front Mic Boost", "Capture" et "Input Source" et tous les mettres au maximum, cocher la case capture et dans la boîte à sélection "Input Source" -> "Micro". Et ça marche nickel! | " => suggestions : ['\xa0»', '”']

425 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Installer **[[apt>pavucontrol]]** et aller dans l'onglet des périphériques d'entrée. |    => suggestions : ['']
425 Mot inconnu : pavucontrol =>   * Installer **[[apt>pavucontrol]]** et aller dans l'onglet des périphériques d'entrée. | pavucontrol

426 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Débrayer les curseurs en cliquant sur le cadenas et baisser au maximum le canal droit. |    => suggestions : ['']

437 Espace(s) surnuméraire(s) à supprimer. => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 |          => suggestions : [' ']
437 Mot inconnu : cdrom0 => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | cdrom0
437 Espace(s) surnuméraire(s) à supprimer. => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 |     => suggestions : [' ']
437 Mot inconnu : udf => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | udf
437 Il manque un espace. => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | iso9660 => suggestions : [' iso9660']
437 Mot inconnu : iso9660 => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | iso9660
437 Il manque un espace. => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | noauto => suggestions : [' noauto']
437 Mot inconnu : noauto => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | noauto
437 Mot inconnu : exec => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | exec
437 Espace(s) surnuméraire(s) à supprimer. => /dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 |         => suggestions : [' ']

440 Espace(s) surnuméraire(s) à supprimer. => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 |          => suggestions : [' ']
440 Mot inconnu : cdrom0 => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | cdrom0
440 Espace(s) surnuméraire(s) à supprimer. => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 |     => suggestions : [' ']
440 Mot inconnu : udf => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | udf
440 Il manque un espace. => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | iso9660 => suggestions : [' iso9660']
440 Mot inconnu : iso9660 => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | iso9660
440 Il manque un espace. => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | noauto => suggestions : [' noauto']
440 Mot inconnu : noauto => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | noauto
440 Mot inconnu : exec => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 | exec
440 Espace(s) surnuméraire(s) à supprimer. => #/dev/sdb        /media/cdrom0   udf,iso9660 user,noauto,exec 0       0 |         => suggestions : [' ']

443 Mot inconnu : usb => Et voila au prochain redémarrage votre clé usb devrait fonctionner. | usb

448 Mot inconnu : LTS => ====Ubuntu 10.04 LTS==== | lts

452 Mot inconnu : Grub => <note warning>**Dans le cas d'une installation sur clé USB, Grub bloque au boot.** | grub
452 Mot inconnu : boot => <note warning>**Dans le cas d'une installation sur clé USB, Grub bloque au boot.** | boot

455 Pas d’espace avant une virgule. => suite de lettres et de chiffres séparés par quelques tirets dans **/media** , puis : |  , => suggestions : [',']

459 Mot inconnu : SD => === Rendre le lecteur SD de droite fonctionnel à chaud === | sd
459 Accord de genre erroné avec « fonctionnel ». => === Rendre le lecteur SD de droite fonctionnel à chaud === | droite => suggestions : ['droit']
459 Accord de genre erroné avec « droite ». => === Rendre le lecteur SD de droite fonctionnel à chaud === | fonctionnel => suggestions : ['fonctionnelle']

473 Mot inconnu : tmpfs => tmpfs /tmp tmpfs defaults 0 0 | tmpfs
473 Mot inconnu : tmpfs => tmpfs /tmp tmpfs defaults 0 0 | tmpfs
473 Mot inconnu : defaults => tmpfs /tmp tmpfs defaults 0 0 | defaults

474 Mot inconnu : tmpfs => tmpfs /var/tmp tmpfs defaults 0 0 | tmpfs
474 Mot inconnu : tmpfs => tmpfs /var/tmp tmpfs defaults 0 0 | tmpfs
474 Mot inconnu : defaults => tmpfs /var/tmp tmpfs defaults 0 0 | defaults

475 Mot inconnu : tmpfs => tmpfs /var/log tmpfs defaults 0 0 | tmpfs
475 Mot inconnu : tmpfs => tmpfs /var/log tmpfs defaults 0 0 | tmpfs
475 Mot inconnu : defaults => tmpfs /var/log tmpfs defaults 0 0 | defaults

476 Mot inconnu : tmpfs => tmpfs /var/log/apt tmpfs defaults 0 0 | tmpfs
476 Mot inconnu : tmpfs => tmpfs /var/log/apt tmpfs defaults 0 0 | tmpfs
476 Mot inconnu : defaults => tmpfs /var/log/apt tmpfs defaults 0 0 | defaults

479 Mot inconnu : ext4 => Si la partition système est en ext4, alors : | ext4

480 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> |    => suggestions : ['']
480 Mot inconnu : UUID =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> | uuid
480 Mot inconnu : xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> | xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx
480 Mot inconnu : ext4 =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> | ext4
480 Espace(s) surnuméraire(s) à supprimer. =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> |      => suggestions : [' ']
480 Mot inconnu : errors =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> | errors
480 Mot inconnu : remount-ro =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> | remount-ro
480 Espace(s) surnuméraire(s) à supprimer. =>   * remplacer :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    errors=remount-ro 0       1</file> |         => suggestions : [' ']

481 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> |    => suggestions : ['']
481 Mot inconnu : UUID =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> | uuid
481 Mot inconnu : xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> | xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx
481 Mot inconnu : ext4 =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> | ext4
481 Espace(s) surnuméraire(s) à supprimer. =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> |      => suggestions : [' ']
481 Mot inconnu : noatime =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> | noatime
481 Il manque un espace. =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> | errors => suggestions : [' errors']
481 Mot inconnu : errors =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> | errors
481 Mot inconnu : remount-ro =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> | remount-ro
481 Espace(s) surnuméraire(s) à supprimer. =>   * par :<file>UUID=xxxxxxxx-xxxx-xxxx-xxxx-xxxxxxxxxxxx /               ext4    noatime,errors=remount-ro 0       1</file> |         => suggestions : [' ']

503 Mot inconnu : Chromium => === Lecture Flash avec Chromium === | chromium

508 Mot inconnu : v0 => Testé avec le BIOS v0.3309 | v0

513 Mot inconnu : echo => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> | echo
513 Il manque un espace à côté du tiret. => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> |  - => suggestions : [' – ', ' — ']
513 Guillemets typographiques ouvrants. => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> | " => suggestions : ['«\xa0', '“']
513 Mot inconnu : enabled => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> | enabled
513 Guillemets typographiques fermants. => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> | " => suggestions : ['\xa0»', '”']
513 Mot inconnu : sys => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> | sys
513 Mot inconnu : class => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> | class
513 Mot inconnu : thermal_zone0 => <file>echo -n "enabled" > /sys/class/thermal/thermal_zone0/mode</file> | thermal_zone0

517 Mot inconnu : Kuki => ==== Kuki Linux ==== | kuki

521 Mot inconnu : kuki => Autre possibilité pour kuki, utiliser les noyaux spécialement conçus pour l'aspire one visibles ici : [[http://www.kuki.me/downloads/]] | kuki
521 Mot inconnu : one => Autre possibilité pour kuki, utiliser les noyaux spécialement conçus pour l'aspire one visibles ici : [[http://www.kuki.me/downloads/]] | one
