
5 Mot inconnu : Philips => ====== Philips MCW770 & TwonkyMediaServer sur Debian/Ubuntu ====== | philips
323 Mot inconnu : wlan0 => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | wlan0
323 Mot inconnu : down => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | down
323 Guillemets typographiques fermants. => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | '' => suggestions : ['\xa0»', '”']
323 Guillemets typographiques ouvrants. => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | '' => suggestions : ['«\xa0', '“']
323 Mot inconnu : ifconfig => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | ifconfig
323 Mot inconnu : wlan0 => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | wlan0
323 Mot inconnu : up => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | up
323 Guillemets typographiques fermants. => Pensez dans vos scripts à (ré)initialiser la connexion lors d'un (re)démarrage du serveur Twonky (via par exemple ''ifconfig wlan0 down'' puis ''ifconfig wlan0 up''). | '' => suggestions : ['\xa0»', '”']

325 Mot inconnu : WEP => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | wep
325 Guillemets typographiques ouvrants. => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | '' => suggestions : ['«\xa0', '“']
325 Mot inconnu : apt-get => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | apt-get
325 Mot inconnu : update => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | update
325 Guillemets typographiques fermants. => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | '' => suggestions : ['\xa0»', '”']
325 Guillemets typographiques ouvrants. => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | '' => suggestions : ['«\xa0', '“']
325 Mot inconnu : apt-get => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | apt-get
325 Guillemets typographiques fermants. => De même, si votre boîte utilise le WEP, il vous est possible via script de changer la configuration de votre bouchon Wifi afin qu'il se connecte aux dépôts et mette à jour le serveur. Auquel cas, vous lui faites couper la connexion avec la chaîne haute fidélité, vous le faites se connecter à votre boîte et lui faites lancer dans le script la mise à jour via les commandes ''apt-get update'' puis ''apt-get upgrade''. Vérifiez auparavant que votre fichier ''/etc/sources.list'' est correctement configuré ! | '' => suggestions : ['\xa0»', '”']
