1 Mot inconnu : REDIRECT [[2:10]] => ~~REDIRECT>tutoriel/samba_ad_dc_members~~ <|> redirect
267 Mot inconnu : Winbind [[97:104]] => La ligne //winbind offline login = yes// dans le fichier /etc/samba/smb.conf indique au PAM pour Winbind d'autoriser l'authentification sur base d'un cache. Il faut donc ajouter cette ligne. <|> winbind

268 Typographie : points de suspension. Utilisez le caractère dédié. [[28:31]] => <file - /etc/samba/smb.conf>... <|> ... => suggestions : ['…']

272 Mot inconnu : cached_login [[37:49]] => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind et en rechargeant PAM <|> cached_login
272 Mot inconnu : PAM [[55:58]] => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind et en rechargeant PAM <|> pam
272 Mot inconnu : Winbind [[64:71]] => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind et en rechargeant PAM <|> winbind
272 Mot inconnu : PAM [[150:153]] => Il faut également ajouter l'option //cached_login// au PAM pour Winbind en créant ou modifiant le fichier /etc/security/pam_winbind et en rechargeant PAM <|> pam

274 Mot inconnu : request [[2:9]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> request
274 Mot inconnu : cached [[12:18]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> cached
274 Mot inconnu : needs [[38:43]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> needs
274 Guillemets typographiques ouvrants. [[44:45]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> " => suggestions : ['«\xa0', '“']
274 Mot inconnu : winbind [[45:52]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> winbind
274 Mot inconnu : offline [[53:60]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> offline
274 Mot inconnu : logon [[61:66]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> logon
274 Mot inconnu : yes [[69:72]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> yes
274 Guillemets typographiques fermants. [[72:73]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> " => suggestions : ['\xa0»', '”']
274 Mot inconnu : smb [[77:80]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> smb
274 Il manque un espace. [[81:85]] => # request a cached login if possible (needs "winbind offline logon = yes" in smb.conf) <|> conf => suggestions : [' conf']

278 Mot inconnu : PAM [[86:89]] => Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]** <|> pam
278 Mot inconnu : CCRED [[95:100]] => Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]** <|> ccred
278 Mot inconnu : Credentials [[108:119]] => Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]** <|> credentials
278 Mot inconnu : libpam-ccreds [[144:157]] => Afin de réaliser le cache des d'informations d'authentification, il faut installer le PAM pour CCRED (Cache Credentials) avec le paquet **[[apt>libpam-ccreds]]** <|> libpam-ccreds

281 Mot inconnu : PAM [[3:6]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> pam
281 Mot inconnu : CCRED [[12:17]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> ccred
281 Mot inconnu : Credentials [[25:36]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> credentials
281 Mot inconnu : DB [[154:156]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> db
281 Mot inconnu : cc_dump [[252:259]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> cc_dump
281 Mot inconnu : cc_test [[267:274]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> cc_test
281 Mot inconnu : pam-ccreds [[304:314]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> pam-ccreds
281 Mot inconnu : shadow [[354:360]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> shadow
281 Mot inconnu : NSS [[366:369]] => Le PAM pour CCRED (Cache Credentials) réalise le cache des informations d'authentification. Ce cache est stocké dans une base de données de type Berkeley DB, /var/cache/.security.db. Il est possible d'interroger cette base de données avec les outils //cc_dump// et //cc_test// fournis par le paquet //libpam-ccreds//. Cette base de données équivaut au //shadow// du NSS. <|> nss
283 Mot inconnu : nss-updatedb [[44:56]] => Il faut également ajouter le paquet **[[apt>nss-updatedb]]** <|> nss-updatedb

286 Mot inconnu : nss-updatedb [[12:24]] => Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données. <|> nss-updatedb
286 Mot inconnu : nss_updatedb [[48:60]] => Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données. <|> nss_updatedb
286 Mot inconnu : DB [[121:123]] => Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données. <|> db
286 Mot inconnu : passwd [[164:170]] => Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données. <|> passwd
286 Mot inconnu : group [[178:183]] => Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données. <|> group
286 Mot inconnu : NSS [[189:192]] => Le paquet //nss-updatedb// fourni la commande //nss_updatedb// qui permet de créer des bases de données de type Berkeley DB stockant les données équivalentes aux //passwd// et //group// du NSS. Il faut l'invoquer régulièrement afin de maintenir à jour ces bases de données. <|> nss

288 Mot inconnu : passwd [[98:104]] => De plus, il faut informer le système qu'il peut utiliser ces bases de données comme source pour //passwd// et //group// en ajoutant //db// aux entrées respectives du fichier ///etc/nsswitch.conf// <|> passwd
288 Mot inconnu : group [[112:117]] => De plus, il faut informer le système qu'il peut utiliser ces bases de données comme source pour //passwd// et //group// en ajoutant //db// aux entrées respectives du fichier ///etc/nsswitch.conf// <|> group
288 Mot inconnu : db [[134:136]] => De plus, il faut informer le système qu'il peut utiliser ces bases de données comme source pour //passwd// et //group// en ajoutant //db// aux entrées respectives du fichier ///etc/nsswitch.conf// <|> db

290 Mot inconnu : passwd [[0:6]] => passwd:        compat winbind db <|> passwd
290 Espace(s) surnuméraire(s) à supprimer. [[7:15]] => passwd:        compat winbind db <|>          => suggestions : [' ']
290 Mot inconnu : compat [[15:21]] => passwd:        compat winbind db <|> compat
290 Mot inconnu : winbind [[22:29]] => passwd:        compat winbind db <|> winbind
290 Mot inconnu : db [[30:32]] => passwd:        compat winbind db <|> db

291 Mot inconnu : group [[0:5]] => group:         compat winbind db <|> group
291 Espace(s) surnuméraire(s) à supprimer. [[6:15]] => group:         compat winbind db <|>           => suggestions : [' ']
291 Mot inconnu : compat [[15:21]] => group:         compat winbind db <|> compat
291 Mot inconnu : winbind [[22:29]] => group:         compat winbind db <|> winbind
291 Mot inconnu : db [[30:32]] => group:         compat winbind db <|> db

298 Mot inconnu : Kerberos [[5:13]] => ==== Kerberos ==== <|> kerberos

299 Mot inconnu : Kerberos [[44:52]] => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. <|> kerberos
299 Mot inconnu : kinit [[64:69]] => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. <|> kinit
299 Mot inconnu : klist [[71:76]] => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. <|> klist
299 Mot inconnu : kdestroy [[78:86]] => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. <|> kdestroy
299 Une de ces ponctuations est superflue. [[86:89]] => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. <|> , . => suggestions : [',', '.']
299 Typographie : points de suspension. Utilisez le caractère dédié. [[88:91]] => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. <|> ... => suggestions : ['…']
299 Mot inconnu : Kerberos [[155:163]] => Il pourra être utile d'installer les outils Kerberos (notamment kinit, klist, kdestroy, ...) pour investiguer, tester et dépanner les problèmes relatifs à Kerberos. <|> kerberos

304 Mot inconnu : Sudo [[5:9]] => ==== Sudo ==== <|> sudo

305 Mot inconnu : superutilisateur [[26:42]] => Afin de donner les droits superutilisateur local à un groupe du domaine (Domain Admins), il faut modifier avec la commande **visudo** le fichier /etc/sudoers. <|> superutilisateur
305 Mot inconnu : Domain [[73:79]] => Afin de donner les droits superutilisateur local à un groupe du domaine (Domain Admins), il faut modifier avec la commande **visudo** le fichier /etc/sudoers. <|> domain
305 Mot inconnu : visudo [[125:131]] => Afin de donner les droits superutilisateur local à un groupe du domaine (Domain Admins), il faut modifier avec la commande **visudo** le fichier /etc/sudoers. <|> visudo

310 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... <|> ... => suggestions : ['…']

311 Mot inconnu : Allow [[2:7]] => # Allow members of domain group "Domain Admins" to execute any command <|> allow
311 Mot inconnu : members [[8:15]] => # Allow members of domain group "Domain Admins" to execute any command <|> members
311 Mot inconnu : of [[16:18]] => # Allow members of domain group "Domain Admins" to execute any command <|> of
311 Mot inconnu : domain [[19:25]] => # Allow members of domain group "Domain Admins" to execute any command <|> domain
311 Mot inconnu : group [[26:31]] => # Allow members of domain group "Domain Admins" to execute any command <|> group
311 Guillemets typographiques ouvrants. [[32:33]] => # Allow members of domain group "Domain Admins" to execute any command <|> " => suggestions : ['«\xa0', '“']
311 Mot inconnu : Domain [[33:39]] => # Allow members of domain group "Domain Admins" to execute any command <|> domain
311 Guillemets typographiques fermants. [[46:47]] => # Allow members of domain group "Domain Admins" to execute any command <|> " => suggestions : ['\xa0»', '”']
311 Mot inconnu : to [[48:50]] => # Allow members of domain group "Domain Admins" to execute any command <|> to
311 Mot inconnu : execute [[51:58]] => # Allow members of domain group "Domain Admins" to execute any command <|> execute
311 Mot inconnu : any [[59:62]] => # Allow members of domain group "Domain Admins" to execute any command <|> any
311 Mot inconnu : command [[63:70]] => # Allow members of domain group "Domain Admins" to execute any command <|> command

312 Il manque un espace. [[1:7]] => %domain\ admins ALL=(ALL:ALL) ALL <|> domain => suggestions : [' domain']
312 Mot inconnu : domain [[1:7]] => %domain\ admins ALL=(ALL:ALL) ALL <|> domain
312 Mot inconnu : ALL [[16:19]] => %domain\ admins ALL=(ALL:ALL) ALL <|> all
312 Mot inconnu : ALL [[21:24]] => %domain\ admins ALL=(ALL:ALL) ALL <|> all
312 Il manque un espace. [[25:28]] => %domain\ admins ALL=(ALL:ALL) ALL <|> all => suggestions : [' ALL']
312 Mot inconnu : ALL [[25:28]] => %domain\ admins ALL=(ALL:ALL) ALL <|> all
312 Mot inconnu : ALL [[30:33]] => %domain\ admins ALL=(ALL:ALL) ALL <|> all

315 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[0:1]] => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. <|> a => suggestions : ['À']
315 Guillemets typographiques ouvrants. [[33:34]] => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. <|> " => suggestions : ['«\xa0', '“']
315 Mot inconnu : Domain [[34:40]] => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. <|> domain
315 Guillemets typographiques fermants. [[47:48]] => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. <|> " => suggestions : ['\xa0»', '”']
315 Mot inconnu : sudo [[94:98]] => A présent, les membres du groupe "Domain Admins" peuvent exécuter toutes les commandes avec //sudo//. <|> sudo

317 Mot inconnu : Policy-Kit [[5:15]] => ==== Policy-Kit ==== <|> policy-kit

318 Mot inconnu : PolicyKit [[33:42]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> policykit
318 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. [[91:93]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> -1 => suggestions : ['−1', '– 1', '— 1']
318 Il manque un espace. [[109:113]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> conf => suggestions : [' conf']
318 Mot inconnu : localauthority [[181:195]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> localauthority
318 Il manque un espace. [[196:200]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> conf => suggestions : [' conf']
318 Mot inconnu : ubuntu-admin [[211:223]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> ubuntu-admin
318 Il manque un espace. [[224:228]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> conf => suggestions : [' conf']
318 Mot inconnu : AdminIdentities [[299:314]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> adminidentities
318 Accord de genre erroné : « un nombre » est masculin, « inférieure » est féminin. [[465:475]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> inférieure => suggestions : ['inférieur']
318 Mot inconnu : ubuntu-admin [[529:541]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> ubuntu-admin
318 Il manque un espace. [[542:546]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|> conf => suggestions : [' conf']
318 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. [[706:710]] => Les droits d'administration pour PolicyKit sont définis par les fichiers dans ///etc/polkit-1/localauthority.conf.d//. Par défaut dans ce répertoire, il existe déjà 2 fichiers //50-localauthority.conf// et //51-ubuntu-admin.conf//. Ces deux fichiers définissent le même paramètre de configuration //AdminIdentities//, les identités des administrateurs. Le fichier ayant le plus grand nombre écrase les paramètres identiques définis par les fichiers ayant un nombre inférieure. Ainsi par défaut sous Ubuntu, c'est le fichier //51-ubuntu-admin.conf// qui sera utilisé pour définir les identités des administrateurs. Pour redéfinir ces identités d'administration, il est recommandé de créer un nouveau fichier car les fichiers existant pourraient être automatiquement modifiés lors d'une mise à jour. Ce nouveau fichier doit alors avoir un nombre supérieur à 51. <|>  car => suggestions : [', car']

323 Mot inconnu : AdminIdentities [[0:15]] => AdminIdentities=unix-group:Domain Admins <|> adminidentities
323 Mot inconnu : unix-group [[16:26]] => AdminIdentities=unix-group:Domain Admins <|> unix-group
323 Il manque un espace. [[27:33]] => AdminIdentities=unix-group:Domain Admins <|> domain => suggestions : [' Domain']
323 Mot inconnu : Domain [[27:33]] => AdminIdentities=unix-group:Domain Admins <|> domain

326 Mot inconnu : __Ou__ [[0:6]] => __Ou__ pour donner les droits aux administrateurs du domaine et aux administrateurs locaux (environnement mixte) <|> __ou__

329 Mot inconnu : AdminIdentities [[0:15]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> adminidentities
329 Mot inconnu : unix-group [[16:26]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> unix-group
329 Il manque un espace. [[27:33]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> domain => suggestions : [' Domain']
329 Mot inconnu : Domain [[27:33]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> domain
329 Il manque un espace. [[41:51]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> unix-group => suggestions : [' unix-group']
329 Mot inconnu : unix-group [[41:51]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> unix-group
329 Il manque un espace. [[52:56]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> sudo => suggestions : [' sudo']
329 Mot inconnu : sudo [[52:56]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> sudo
329 Il manque un espace. [[57:67]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> unix-group => suggestions : [' unix-group']
329 Mot inconnu : unix-group [[57:67]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> unix-group
329 Il manque un espace. [[68:73]] => AdminIdentities=unix-group:Domain Admins;unix-group:sudo;unix-group:admin <|> admin => suggestions : [' admin']

332 Mot inconnu : Samba-tool [[5:15]] => ==== Samba-tool ==== <|> samba-tool

333 Mot inconnu : samba-tool [[10:20]] => L'outil //samba-tool// peut être utilisé pour administrer à distance le domaine en ajoutant en fin de commande -H %%ldap://ubndc01.example.com%%. Ne pas mettre l'IP d'un serveur ! <|> samba-tool
333 Il manque un espace à côté du tiret. [[110:112]] => L'outil //samba-tool// peut être utilisé pour administrer à distance le domaine en ajoutant en fin de commande -H %%ldap://ubndc01.example.com%%. Ne pas mettre l'IP d'un serveur ! <|>  - => suggestions : [' – ', ' — ']
333 Il manque un espace. [[116:120]] => L'outil //samba-tool// peut être utilisé pour administrer à distance le domaine en ajoutant en fin de commande -H %%ldap://ubndc01.example.com%%. Ne pas mettre l'IP d'un serveur ! <|> ldap => suggestions : [' ldap']
333 Mot inconnu : ldap [[116:120]] => L'outil //samba-tool// peut être utilisé pour administrer à distance le domaine en ajoutant en fin de commande -H %%ldap://ubndc01.example.com%%. Ne pas mettre l'IP d'un serveur ! <|> ldap

335 Il manque un espace à côté du tiret. [[114:116]] => L'authentification peut se faire de façon traditionnelle pour tous les utilisateurs en ajoutant en fin de commande -U <domain username> <|>  - => suggestions : [' – ', ' — ']

342 Mot inconnu : Kerberos [[22:30]] => Ou sur base du ticket Kerberos en ajoutant en fin de commande -k yes pour un utilisateur du domaine correctement authentifié <|> kerberos
